,K,S,q,r,sigma,t,price
0,52.0,91.1,0.0,0.0118,0.02776319114275506,0.25,0.0
1,52.0,91.1,0.0,0.0118,0.02776319114275506,0.5,8.236022492148069e-185
2,52.0,91.1,0.0,0.0118,0.02776319114275506,0.75,1.6308439965706815e-125
3,52.0,91.1,0.0,0.0118,0.02776319114275506,1.0,8.096218472940976e-96
4,52.0,91.1,0.0,0.0118,0.16424854217092363,0.25,2.6531683930372544e-12
5,52.0,91.1,0.0,0.0118,0.16424854217092363,0.5,8.097813524970525e-07
6,52.0,91.1,0.0,0.0118,0.16424854217092363,0.75,6.821745577041577e-05
7,52.0,91.1,0.0,0.0118,0.16424854217092363,1.0,0.0006936632309827813
8,52.0,91.1,0.0,0.0118,0.26544998329566,0.25,2.117620435327387e-05
9,52.0,91.1,0.0,0.0118,0.26544998329566,0.5,0.0045896283430898865
10,52.0,91.1,0.0,0.0118,0.26544998329566,0.75,0.03364820168928101
11,52.0,91.1,0.0,0.0118,0.26544998329566,1.0,0.09959397078991007
12,52.0,91.1,0.0,0.0118,0.3874180606791659,0.25,0.0069422967294891485
13,52.0,91.1,0.0,0.0118,0.3874180606791659,0.5,0.13167246029005372
14,52.0,91.1,0.0,0.0118,0.3874180606791659,0.75,0.41848292425866696
15,52.0,91.1,0.0,0.0118,0.3874180606791659,1.0,0.806140734828062
16,52.0,91.1,0.0,0.0118,0.7066863283197075,0.25,0.5642566975449084
17,52.0,91.1,0.0,0.0118,0.7066863283197075,0.5,2.1547113836868963
18,52.0,91.1,0.0,0.0118,0.7066863283197075,0.75,3.866755642313151
19,52.0,91.1,0.0,0.0118,0.7066863283197075,1.0,5.5026047730930845
20,52.0,91.1,0.0,0.0559,0.02776319114275506,0.25,0.0
21,52.0,91.1,0.0,0.0559,0.02776319114275506,0.5,3.3492573135073224e-199
22,52.0,91.1,0.0,0.0559,0.02776319114275506,0.75,3.919571288605269e-140
23,52.0,91.1,0.0,0.0559,0.02776319114275506,1.0,1.1512980499298593e-110
24,52.0,91.1,0.0,0.0559,0.16424854217092363,0.25,1.003202509661885e-12
25,52.0,91.1,0.0,0.0559,0.16424854217092363,0.5,2.9075222753883515e-07
26,52.0,91.1,0.0,0.0559,0.16424854217092363,0.75,2.3330231590658867e-05
27,52.0,91.1,0.0,0.0559,0.16424854217092363,1.0,0.00022650394785982998
28,52.0,91.1,0.0,0.0559,0.26544998329566,0.25,1.4254998372114351e-05
29,52.0,91.1,0.0,0.0559,0.26544998329566,0.5,0.0029735626833026383
30,52.0,91.1,0.0,0.0559,0.26544998329566,0.75,0.02106176319429262
31,52.0,91.1,0.0,0.0559,0.26544998329566,1.0,0.06038402057278449
32,52.0,91.1,0.0,0.0559,0.3874180606791659,0.25,0.005664089350066572
33,52.0,91.1,0.0,0.0559,0.3874180606791659,0.5,0.10420311728074991
34,52.0,91.1,0.0,0.0559,0.3874180606791659,0.75,0.3224679679214092
35,52.0,91.1,0.0,0.0559,0.3874180606791659,1.0,0.6062737120600848
36,52.0,91.1,0.0,0.0559,0.7066863283197075,0.25,0.5211804122401749
37,52.0,91.1,0.0,0.0559,0.7066863283197075,0.5,1.948988648543744
