K,S,q,r,sigma,t,price,fdm-price
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.25,1.2102580789401434e-194,4.7627336909422974e-26
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.5,2.595717655739007e-100,8.553144829341517e-23
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.75,9.113919956264023e-69,6.4924166456619785e-21
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,1.0,6.009818831508708e-53,1.3500243374758319e-19
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.25,2.6935304121980207e-07,5.8908097271222885e-06
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.5,0.00033134986474387263,0.0006641528554368853
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.75,0.004367636738286772,0.005639694322289947
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,1.0,0.01740194122419018,0.019593298913135077
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.25,0.0022709585424715447,0.0032844640192855054
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.5,0.05708405620203876,0.06053664706378166
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.75,0.19997961703090847,0.20339367408340164
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,1.0,0.40510602996641304,0.407325050882209
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.25,0.07465155422337098,0.07848099884631059
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.5,0.4936512330990254,0.4959551225094167
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.75,1.0828188469007172,1.0819903923736813
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,1.0,1.717719277876288,1.714063366990498
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.25,1.345250494354941,1.3438433197600235
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.5,3.5628649681475455,3.553966412658851
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.75,5.580205088434129,5.566014915145422
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,1.0,7.376171490668022,7.356526567829867
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.25,5.0555532561784575e-205,-3.3902299497794083e-18
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.5,6.318506941793365e-111,-5.839393408265188e-15
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.75,1.2956387025666958e-79,-4.2269032431379035e-13
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,1.0,4.999687125304765e-64,-8.33401813258503e-12
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.25,1.2919960318071353e-07,2.6250397437061118e-06
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.5,0.00014980625656006635,0.0002838668289943668
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.75,0.0018707695161600288,0.0023077804151888444
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,1.0,0.0070872932064293135,0.0076748986431274275
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.25,0.001666990670220814,0.0023782915329671585
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.5,0.04015871407278167,0.042203762284665325
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.75,0.13555995307167698,0.13688628105306924
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,1.0,0.2654968989718242,0.26529534804364663
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.25,0.06328746944138056,0.06629498334228137
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.5,0.40502488152584537,0.40590633269637494
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.75,0.863947293709443,0.8614594748617129
