0/30000 PDE Loss: 0.00003, BC Loss: 3284.21069,                   mse loss: 3284.210693, combined loss: -57.11335
50/30000 PDE Loss: 0.92484, BC Loss: 67.88206,                   mse loss: 68.806892, combined loss: 16.59822
100/30000 PDE Loss: 28.64501, BC Loss: 65.48028,                   mse loss: 94.125290, combined loss: 51.87318
150/30000 PDE Loss: 31.25646, BC Loss: 106.38483,                   mse loss: 137.641296, combined loss: -28.42299
200/30000 PDE Loss: 14.61786, BC Loss: 41.24137,                   mse loss: 55.859222, combined loss: 11.44057
250/30000 PDE Loss: 19.43036, BC Loss: 48.13336,                   mse loss: 67.563721, combined loss: -30.84077
300/30000 PDE Loss: 18.14824, BC Loss: 12.52963,                   mse loss: 30.677876, combined loss: 42.59231
350/30000 PDE Loss: 20.47202, BC Loss: 35.74235,                   mse loss: 56.214378, combined loss: 0.83915
400/30000 PDE Loss: 5.52016, BC Loss: 5.19414,                   mse loss: 10.714295, combined loss: -3.21656
450/30000 PDE Loss: 44.83737, BC Loss: 36.92601,                   mse loss: 81.763382, combined loss: -5.65524
500/30000 PDE Loss: 15.50782, BC Loss: 36.02229,                   mse loss: 51.530109, combined loss: 7.11554
550/30000 PDE Loss: 37.64019, BC Loss: 62.59710,                   mse loss: 100.237289, combined loss: -5.91484
600/30000 PDE Loss: 12.97891, BC Loss: 23.14016,                   mse loss: 36.119072, combined loss: 4.81904
650/30000 PDE Loss: 0.90454, BC Loss: 4.45689,                   mse loss: 5.361426, combined loss: -1.82507
700/30000 PDE Loss: 2.95645, BC Loss: 9.93016,                   mse loss: 12.886610, combined loss: 2.30556
750/30000 PDE Loss: 18.27738, BC Loss: 46.59799,                   mse loss: 64.875366, combined loss: -0.95545
800/30000 PDE Loss: 0.17382, BC Loss: 4.66579,                   mse loss: 4.839606, combined loss: -0.78214
850/30000 PDE Loss: 0.19640, BC Loss: 6.08671,                   mse loss: 6.283112, combined loss: 4.47037
900/30000 PDE Loss: 2.51357, BC Loss: 7.02898,                   mse loss: 9.542542, combined loss: 1.01959
950/30000 PDE Loss: 0.39438, BC Loss: 1.82954,                   mse loss: 2.223917, combined loss: -0.74476
1000/30000 PDE Loss: 0.70961, BC Loss: 2.80111,                   mse loss: 3.510722, combined loss: 0.66321
1050/30000 PDE Loss: 1.37825, BC Loss: 8.32219,                   mse loss: 9.700434, combined loss: 0.08674
1100/30000 PDE Loss: 0.24701, BC Loss: 5.62112,                   mse loss: 5.868134, combined loss: -0.12485
1150/30000 PDE Loss: 1.12857, BC Loss: 1.23169,                   mse loss: 2.360253, combined loss: -0.22207
1200/30000 PDE Loss: 0.78626, BC Loss: 4.22249,                   mse loss: 5.008751, combined loss: 0.03440
1250/30000 PDE Loss: 0.30462, BC Loss: 3.46948,                   mse loss: 3.774107, combined loss: -0.00214
1300/30000 PDE Loss: 0.67619, BC Loss: 2.19968,                   mse loss: 2.875874, combined loss: -0.00106
1350/30000 PDE Loss: 0.05149, BC Loss: 1.11658,                   mse loss: 1.168067, combined loss: -0.07410
1400/30000 PDE Loss: 0.06047, BC Loss: 1.19250,                   mse loss: 1.252975, combined loss: -0.01084
1450/30000 PDE Loss: 0.00959, BC Loss: 0.15691,                   mse loss: 0.166499, combined loss: -0.01372
1500/30000 PDE Loss: 0.03331, BC Loss: 0.89377,                   mse loss: 0.927074, combined loss: 0.00644
1550/30000 PDE Loss: 0.01141, BC Loss: 0.02733,                   mse loss: 0.038742, combined loss: -0.00388
1600/30000 PDE Loss: 0.02596, BC Loss: 0.74533,                   mse loss: 0.771288, combined loss: -0.00970
1650/30000 PDE Loss: 0.11540, BC Loss: 0.58564,                   mse loss: 0.701032, combined loss: 0.02181
1700/30000 PDE Loss: 0.12904, BC Loss: 0.13057,                   mse loss: 0.259607, combined loss: 0.00590
1750/30000 PDE Loss: 0.04847, BC Loss: 0.05304,                   mse loss: 0.101506, combined loss: 0.00648
1800/30000 PDE Loss: 0.03455, BC Loss: 0.17262,                   mse loss: 0.207172, combined loss: 0.00047
1850/30000 PDE Loss: 0.08284, BC Loss: 0.06786,                   mse loss: 0.150699, combined loss: -0.00375
1900/30000 PDE Loss: 0.00762, BC Loss: 0.14016,                   mse loss: 0.147778, combined loss: 0.00274
1950/30000 PDE Loss: 0.08066, BC Loss: 0.08473,                   mse loss: 0.165395, combined loss: -0.00071
2000/30000 PDE Loss: 0.01184, BC Loss: 0.33652,                   mse loss: 0.348359, combined loss: -0.00260
2050/30000 PDE Loss: 4.84623, BC Loss: 30.71600,                   mse loss: 35.562233, combined loss: 0.71197
2100/30000 PDE Loss: 0.68916, BC Loss: 1.47557,                   mse loss: 2.164732, combined loss: -0.35150
2150/30000 PDE Loss: 0.12561, BC Loss: 1.94009,                   mse loss: 2.065696, combined loss: -0.02159
2200/30000 PDE Loss: 0.14860, BC Loss: 3.49790,                   mse loss: 3.646500, combined loss: 0.09667
2250/30000 PDE Loss: 0.23784, BC Loss: 0.60949,                   mse loss: 0.847333, combined loss: -0.04802
2300/30000 PDE Loss: 0.02400, BC Loss: 1.71739,                   mse loss: 1.741396, combined loss: -0.01503
2350/30000 PDE Loss: 0.04834, BC Loss: 0.14170,                   mse loss: 0.190040, combined loss: -0.00284
