0/60000 PDE Loss: 0.01338, BVP1 Loss: 0.02709, BVP2 Loss: 8147.93896, IVP Loss: 1815.49670,
500/60000 PDE Loss: 0.13744, BVP1 Loss: 0.00000, BVP2 Loss: 7500.84277, IVP Loss: 1621.46240,
1000/60000 PDE Loss: 0.31907, BVP1 Loss: 0.00000, BVP2 Loss: 7072.85498, IVP Loss: 1449.63599,
1500/60000 PDE Loss: 0.50636, BVP1 Loss: 0.00000, BVP2 Loss: 6678.98535, IVP Loss: 1395.76489,
2000/60000 PDE Loss: 0.66489, BVP1 Loss: 0.00000, BVP2 Loss: 6306.20947, IVP Loss: 1239.31921,
2500/60000 PDE Loss: 0.77491, BVP1 Loss: 0.00000, BVP2 Loss: 5943.13525, IVP Loss: 1119.76660,
3000/60000 PDE Loss: 0.87458, BVP1 Loss: 0.00000, BVP2 Loss: 5579.56445, IVP Loss: 1041.39478,
3500/60000 PDE Loss: 0.88761, BVP1 Loss: 0.00000, BVP2 Loss: 5230.24805, IVP Loss: 926.33887,
4000/60000 PDE Loss: 0.96484, BVP1 Loss: 0.00000, BVP2 Loss: 4899.56348, IVP Loss: 872.02026,
4500/60000 PDE Loss: 0.97828, BVP1 Loss: 0.00000, BVP2 Loss: 4584.65967, IVP Loss: 740.83447,
5000/60000 PDE Loss: 1.19748, BVP1 Loss: 0.00000, BVP2 Loss: 4289.59277, IVP Loss: 683.85980,
5500/60000 PDE Loss: 1.24527, BVP1 Loss: 0.00000, BVP2 Loss: 3999.31152, IVP Loss: 634.69873,
6000/60000 PDE Loss: 1.29793, BVP1 Loss: 0.00000, BVP2 Loss: 3716.64917, IVP Loss: 555.69104,
6500/60000 PDE Loss: 1.41286, BVP1 Loss: 0.00000, BVP2 Loss: 3447.60718, IVP Loss: 513.97479,
7000/60000 PDE Loss: 1.50837, BVP1 Loss: 0.00000, BVP2 Loss: 3191.25562, IVP Loss: 438.73120,
7500/60000 PDE Loss: 1.67135, BVP1 Loss: 0.00000, BVP2 Loss: 2940.92432, IVP Loss: 385.97815,
8000/60000 PDE Loss: 1.86955, BVP1 Loss: 0.00000, BVP2 Loss: 2705.66382, IVP Loss: 336.93735,
8500/60000 PDE Loss: 2.23108, BVP1 Loss: 0.00000, BVP2 Loss: 2478.48438, IVP Loss: 291.72540,
9000/60000 PDE Loss: 2.27589, BVP1 Loss: 0.00000, BVP2 Loss: 2265.13550, IVP Loss: 256.03116,
9500/60000 PDE Loss: 2.78755, BVP1 Loss: 0.00000, BVP2 Loss: 2059.82446, IVP Loss: 233.63829,
10000/60000 PDE Loss: 3.17811, BVP1 Loss: 0.00000, BVP2 Loss: 1866.57336, IVP Loss: 189.56975,
10500/60000 PDE Loss: 3.56036, BVP1 Loss: 0.00000, BVP2 Loss: 1683.51636, IVP Loss: 155.68857,
11000/60000 PDE Loss: 4.39642, BVP1 Loss: 0.00000, BVP2 Loss: 1509.88281, IVP Loss: 143.15198,
11500/60000 PDE Loss: 5.29520, BVP1 Loss: 0.00000, BVP2 Loss: 1347.92078, IVP Loss: 121.74672,
12000/60000 PDE Loss: 5.37092, BVP1 Loss: 0.00000, BVP2 Loss: 1196.48853, IVP Loss: 103.65224,
12500/60000 PDE Loss: 6.34590, BVP1 Loss: 0.00000, BVP2 Loss: 1054.37036, IVP Loss: 82.76508,
13000/60000 PDE Loss: 7.30840, BVP1 Loss: 0.00000, BVP2 Loss: 922.07520, IVP Loss: 65.45251,
13500/60000 PDE Loss: 7.88864, BVP1 Loss: 0.00000, BVP2 Loss: 800.66003, IVP Loss: 51.71409,
14000/60000 PDE Loss: 9.62121, BVP1 Loss: 0.00000, BVP2 Loss: 688.36621, IVP Loss: 42.14385,
14500/60000 PDE Loss: 10.59964, BVP1 Loss: 0.00000, BVP2 Loss: 587.01978, IVP Loss: 36.54981,
15000/60000 PDE Loss: 13.65646, BVP1 Loss: 0.00000, BVP2 Loss: 492.88828, IVP Loss: 28.40548,
15500/60000 PDE Loss: 13.84224, BVP1 Loss: 0.00000, BVP2 Loss: 412.16428, IVP Loss: 21.46089,
16000/60000 PDE Loss: 13.77555, BVP1 Loss: 0.00000, BVP2 Loss: 338.27109, IVP Loss: 16.84740,
16500/60000 PDE Loss: 13.00085, BVP1 Loss: 0.00000, BVP2 Loss: 275.82825, IVP Loss: 13.35246,
17000/60000 PDE Loss: 16.55333, BVP1 Loss: 0.00000, BVP2 Loss: 218.17870, IVP Loss: 11.52640,
17500/60000 PDE Loss: 17.39083, BVP1 Loss: 0.00000, BVP2 Loss: 171.93170, IVP Loss: 9.91492,
18000/60000 PDE Loss: 16.98884, BVP1 Loss: 0.00000, BVP2 Loss: 131.44899, IVP Loss: 9.94217,
18500/60000 PDE Loss: 20.13873, BVP1 Loss: 0.00000, BVP2 Loss: 99.19023, IVP Loss: 6.87477,
19000/60000 PDE Loss: 34.77961, BVP1 Loss: 0.00000, BVP2 Loss: 65.90366, IVP Loss: 6.95848,
19500/60000 PDE Loss: 9.33796, BVP1 Loss: 0.00000, BVP2 Loss: 54.46514, IVP Loss: 3.99224,
20000/60000 PDE Loss: 4.91862, BVP1 Loss: 0.00000, BVP2 Loss: 40.22760, IVP Loss: 3.22692,
20500/60000 PDE Loss: 12.97873, BVP1 Loss: 0.00000, BVP2 Loss: 43.52434, IVP Loss: 6.46805,
21000/60000 PDE Loss: 7.08899, BVP1 Loss: 0.00000, BVP2 Loss: 26.08881, IVP Loss: 4.79715,
21500/60000 PDE Loss: 6.03012, BVP1 Loss: 0.00001, BVP2 Loss: 17.51471, IVP Loss: 3.23419,
22000/60000 PDE Loss: 3.79278, BVP1 Loss: 0.00000, BVP2 Loss: 11.30462, IVP Loss: 1.43479,
22500/60000 PDE Loss: 2.57981, BVP1 Loss: 0.00000, BVP2 Loss: 6.08366, IVP Loss: 0.64912,
23000/60000 PDE Loss: 1.28145, BVP1 Loss: 0.00000, BVP2 Loss: 3.01524, IVP Loss: 0.35697,
23500/60000 PDE Loss: 0.78441, BVP1 Loss: 0.00000, BVP2 Loss: 1.35904, IVP Loss: 0.13291,
24000/60000 PDE Loss: 0.28110, BVP1 Loss: 0.00003, BVP2 Loss: 0.33808, IVP Loss: 0.02935,
24500/60000 PDE Loss: 0.19928, BVP1 Loss: 0.00001, BVP2 Loss: 0.14891, IVP Loss: 0.01231,
25000/60000 PDE Loss: 0.15886, BVP1 Loss: 0.00000, BVP2 Loss: 0.06972, IVP Loss: 0.01192,
25500/60000 PDE Loss: 0.10739, BVP1 Loss: 0.00001, BVP2 Loss: 0.04018, IVP Loss: 0.00773,
26000/60000 PDE Loss: 0.06369, BVP1 Loss: 0.00000, BVP2 Loss: 0.02670, IVP Loss: 0.00835,
26500/60000 PDE Loss: 0.03957, BVP1 Loss: 0.00000, BVP2 Loss: 0.01779, IVP Loss: 0.00582,
27000/60000 PDE Loss: 0.16564, BVP1 Loss: 0.00000, BVP2 Loss: 0.40743, IVP Loss: 0.03111,
27500/60000 PDE Loss: 0.08827, BVP1 Loss: 0.00000, BVP2 Loss: 0.08946, IVP Loss: 0.01379,
28000/60000 PDE Loss: 0.04693, BVP1 Loss: 0.00000, BVP2 Loss: 0.03667, IVP Loss: 0.00928,
28500/60000 PDE Loss: 0.03892, BVP1 Loss: 0.00000, BVP2 Loss: 0.01665, IVP Loss: 0.00808,
29000/60000 PDE Loss: 0.02988, BVP1 Loss: 0.00001, BVP2 Loss: 0.00811, IVP Loss: 0.00759,
29500/60000 PDE Loss: 0.02549, BVP1 Loss: 0.00000, BVP2 Loss: 0.00454, IVP Loss: 0.00587,
30000/60000 PDE Loss: 0.01555, BVP1 Loss: 0.00000, BVP2 Loss: 0.00168, IVP Loss: 0.00683,
30500/60000 PDE Loss: 0.01446, BVP1 Loss: 0.00000, BVP2 Loss: 0.00024, IVP Loss: 0.00555,
31000/60000 PDE Loss: 0.01252, BVP1 Loss: 0.00000, BVP2 Loss: 0.00016, IVP Loss: 0.00591,
31500/60000 PDE Loss: 0.01149, BVP1 Loss: 0.00000, BVP2 Loss: 0.00010, IVP Loss: 0.00593,
32000/60000 PDE Loss: 0.00841, BVP1 Loss: 0.00000, BVP2 Loss: 0.00009, IVP Loss: 0.00462,
32500/60000 PDE Loss: 0.00943, BVP1 Loss: 0.00000, BVP2 Loss: 0.00011, IVP Loss: 0.00483,
33000/60000 PDE Loss: 0.00812, BVP1 Loss: 0.00000, BVP2 Loss: 0.00006, IVP Loss: 0.00517,
