0/60000 PDE Loss: 0.00011, BVP1 Loss: 0.00007, BVP2 Loss: 7284.34863, IVP Loss: 1627.46265,
500/60000 PDE Loss: 0.02954, BVP1 Loss: 11.81256, BVP2 Loss: 7664.87695, IVP Loss: 1660.55750,
1000/60000 PDE Loss: 0.11038, BVP1 Loss: 44.15009, BVP2 Loss: 7113.64795, IVP Loss: 1433.27441,
1500/60000 PDE Loss: 0.22924, BVP1 Loss: 91.69463, BVP2 Loss: 6627.12891, IVP Loss: 1364.97559,
2000/60000 PDE Loss: 0.37543, BVP1 Loss: 150.17056, BVP2 Loss: 6198.16699, IVP Loss: 1266.52478,
2500/60000 PDE Loss: 0.54049, BVP1 Loss: 216.19650, BVP2 Loss: 5818.31396, IVP Loss: 1178.24902,
3000/60000 PDE Loss: 0.71749, BVP1 Loss: 286.99170, BVP2 Loss: 5480.41504, IVP Loss: 1129.14905,
3500/60000 PDE Loss: 0.90111, BVP1 Loss: 360.44141, BVP2 Loss: 5184.84619, IVP Loss: 1063.84119,
4000/60000 PDE Loss: 1.08725, BVP1 Loss: 434.89270, BVP2 Loss: 4918.24219, IVP Loss: 1001.18958,
4500/60000 PDE Loss: 1.27269, BVP1 Loss: 509.06946, BVP2 Loss: 4682.86865, IVP Loss: 973.80878,
5000/60000 PDE Loss: 1.45482, BVP1 Loss: 581.92078, BVP2 Loss: 4471.21533, IVP Loss: 949.70361,
5500/60000 PDE Loss: 1.63204, BVP1 Loss: 652.80469, BVP2 Loss: 4281.08008, IVP Loss: 885.25201,
6000/60000 PDE Loss: 1.80287, BVP1 Loss: 721.13495, BVP2 Loss: 4112.54102, IVP Loss: 923.27179,
6500/60000 PDE Loss: 1.96628, BVP1 Loss: 786.50208, BVP2 Loss: 3959.91870, IVP Loss: 910.48419,
7000/60000 PDE Loss: 2.12180, BVP1 Loss: 848.70398, BVP2 Loss: 3826.99487, IVP Loss: 904.04968,
7500/60000 PDE Loss: 2.26907, BVP1 Loss: 907.61298, BVP2 Loss: 3704.45874, IVP Loss: 896.77917,
8000/60000 PDE Loss: 2.40799, BVP1 Loss: 963.17639, BVP2 Loss: 3594.51050, IVP Loss: 871.80981,
8500/60000 PDE Loss: 2.53871, BVP1 Loss: 1015.46259, BVP2 Loss: 3495.74048, IVP Loss: 895.33282,
9000/60000 PDE Loss: 2.66111, BVP1 Loss: 1064.41675, BVP2 Loss: 3404.91284, IVP Loss: 877.83478,
9500/60000 PDE Loss: 2.77559, BVP1 Loss: 1110.20264, BVP2 Loss: 3326.09644, IVP Loss: 901.86951,
10000/60000 PDE Loss: 2.88210, BVP1 Loss: 1152.80457, BVP2 Loss: 3253.20117, IVP Loss: 901.60541,
10500/60000 PDE Loss: 2.98135, BVP1 Loss: 1192.49756, BVP2 Loss: 3185.23438, IVP Loss: 905.44531,
11000/60000 PDE Loss: 3.07336, BVP1 Loss: 1229.30103, BVP2 Loss: 3128.27490, IVP Loss: 904.00677,
11500/60000 PDE Loss: 3.15894, BVP1 Loss: 1263.52283, BVP2 Loss: 3073.26099, IVP Loss: 930.16370,
12000/60000 PDE Loss: 3.23809, BVP1 Loss: 1295.18701, BVP2 Loss: 3024.40649, IVP Loss: 923.73560,
12500/60000 PDE Loss: 3.31137, BVP1 Loss: 1324.16040, BVP2 Loss: 2979.61719, IVP Loss: 932.44458,
13000/60000 PDE Loss: 3.37961, BVP1 Loss: 1350.12012, BVP2 Loss: 2940.84082, IVP Loss: 931.18701,
13500/60000 PDE Loss: 3.44657, BVP1 Loss: 1369.09412, BVP2 Loss: 2905.08252, IVP Loss: 948.89398,
14000/60000 PDE Loss: 3.56336, BVP1 Loss: 1323.95361, BVP2 Loss: 2870.35547, IVP Loss: 935.65759,
14500/60000 PDE Loss: 6.30073, BVP1 Loss: 1.34378, BVP2 Loss: 2759.67725, IVP Loss: 949.38092,
15000/60000 PDE Loss: 14.17409, BVP1 Loss: 0.26207, BVP2 Loss: 895.58362, IVP Loss: 1773.54944,
15500/60000 PDE Loss: 9.74303, BVP1 Loss: 3.24051, BVP2 Loss: 897.75842, IVP Loss: 1801.53760,
