0/60000 mse loss: 5986.035156, PDE Loss: 0.00005, BC Loss: 4122.45947, fc loss: 1863.57568, reg_loss:  0.904837, min loss: 5986.03516
500/60000 mse loss: 5444.014648, PDE Loss: 0.00001, BC Loss: 3767.08472, fc loss: 1676.92993, reg_loss:  0.899445, min loss: 5444.01465
1000/60000 mse loss: 3877.694580, PDE Loss: 0.00002, BC Loss: 2729.64209, fc loss: 1148.05249, reg_loss:  0.890947, min loss: 3877.69458
1500/60000 mse loss: 1163.464355, PDE Loss: 0.00031, BC Loss: 853.10199, fc loss: 310.36206, reg_loss:  0.880583, min loss: 1163.46436
2000/60000 mse loss: 228.302948, PDE Loss: 0.00446, BC Loss: 67.56517, fc loss: 160.73332, reg_loss:  0.874489, min loss: 228.30295
2500/60000 mse loss: 207.226227, PDE Loss: 0.04340, BC Loss: 28.78441, fc loss: 178.39842, reg_loss:  0.869827, min loss: 207.22623
3000/60000 mse loss: 196.138489, PDE Loss: 0.24985, BC Loss: 26.35988, fc loss: 169.52876, reg_loss:  0.863586, min loss: 196.13849
3500/60000 mse loss: 173.930588, PDE Loss: 1.35067, BC Loss: 24.32064, fc loss: 148.25928, reg_loss:  0.857531, min loss: 173.93059
4000/60000 mse loss: 140.792664, PDE Loss: 6.90940, BC Loss: 16.91094, fc loss: 116.97233, reg_loss:  0.852342, min loss: 140.79266
4500/60000 mse loss: 119.977760, PDE Loss: 14.33434, BC Loss: 12.51133, fc loss: 93.13209, reg_loss:  0.848644, min loss: 119.97776
5000/60000 mse loss: 104.581650, PDE Loss: 22.38088, BC Loss: 9.23760, fc loss: 72.96317, reg_loss:  0.846115, min loss: 104.58165
5500/60000 mse loss: 92.378555, PDE Loss: 26.56516, BC Loss: 7.17528, fc loss: 58.63811, reg_loss:  0.845267, min loss: 92.37856
6000/60000 mse loss: 79.616821, PDE Loss: 26.25505, BC Loss: 5.75052, fc loss: 47.61124, reg_loss:  0.845741, min loss: 79.61682
6500/60000 mse loss: 65.621124, PDE Loss: 24.00568, BC Loss: 4.46049, fc loss: 37.15495, reg_loss:  0.846619, min loss: 65.62112
7000/60000 mse loss: 51.025387, PDE Loss: 20.63723, BC Loss: 3.25410, fc loss: 27.13406, reg_loss:  0.847466, min loss: 51.02539
7500/60000 mse loss: 36.741684, PDE Loss: 16.36734, BC Loss: 2.19032, fc loss: 18.18403, reg_loss:  0.848163, min loss: 36.74168
8000/60000 mse loss: 23.908997, PDE Loss: 11.68153, BC Loss: 1.32190, fc loss: 10.90556, reg_loss:  0.848680, min loss: 23.90900
8500/60000 mse loss: 13.568752, PDE Loss: 7.26198, BC Loss: 0.67936, fc loss: 5.62741, reg_loss:  0.848998, min loss: 13.56875
9000/60000 mse loss: 6.455086, PDE Loss: 3.78770, BC Loss: 0.28882, fc loss: 2.37857, reg_loss:  0.849168, min loss: 6.45509
9500/60000 mse loss: 2.461365, PDE Loss: 1.58102, BC Loss: 0.09594, fc loss: 0.78440, reg_loss:  0.849254, min loss: 2.46136
10000/60000 mse loss: 0.718088, PDE Loss: 0.49985, BC Loss: 0.02319, fc loss: 0.19504, reg_loss:  0.849294, min loss: 0.71809
10500/60000 mse loss: 0.154169, PDE Loss: 0.11389, BC Loss: 0.00465, fc loss: 0.03562, reg_loss:  0.849302, min loss: 0.15417
11000/60000 mse loss: 0.026081, PDE Loss: 0.01847, BC Loss: 0.00090, fc loss: 0.00671, reg_loss:  0.849290, min loss: 0.02485
11500/60000 mse loss: 0.004642, PDE Loss: 0.00356, BC Loss: 0.00013, fc loss: 0.00095, reg_loss:  0.849278, min loss: 0.00429
12000/60000 mse loss: 0.002404, PDE Loss: 0.00210, BC Loss: 0.00002, fc loss: 0.00029, reg_loss:  0.849278, min loss: 0.00240
12500/60000 mse loss: 0.002240, PDE Loss: 0.00196, BC Loss: 0.00002, fc loss: 0.00027, reg_loss:  0.849291, min loss: 0.00224
13000/60000 mse loss: 0.002158, PDE Loss: 0.00189, BC Loss: 0.00001, fc loss: 0.00026, reg_loss:  0.849308, min loss: 0.00216
13500/60000 mse loss: 0.002350, PDE Loss: 0.00190, BC Loss: 0.00018, fc loss: 0.00026, reg_loss:  0.849327, min loss: 0.00210
14000/60000 mse loss: 0.002055, PDE Loss: 0.00181, BC Loss: 0.00001, fc loss: 0.00023, reg_loss:  0.849345, min loss: 0.00206
14500/60000 mse loss: 0.002007, PDE Loss: 0.00178, BC Loss: 0.00001, fc loss: 0.00022, reg_loss:  0.849360, min loss: 0.00201
15000/60000 mse loss: 0.001959, PDE Loss: 0.00174, BC Loss: 0.00001, fc loss: 0.00020, reg_loss:  0.849373, min loss: 0.00196
15500/60000 mse loss: 0.001905, PDE Loss: 0.00171, BC Loss: 0.00001, fc loss: 0.00018, reg_loss:  0.849383, min loss: 0.00190
16000/60000 mse loss: 0.001862, PDE Loss: 0.00168, BC Loss: 0.00001, fc loss: 0.00017, reg_loss:  0.849397, min loss: 0.00186
16500/60000 mse loss: 0.001827, PDE Loss: 0.00166, BC Loss: 0.00001, fc loss: 0.00016, reg_loss:  0.849415, min loss: 0.00183
17000/60000 mse loss: 0.001794, PDE Loss: 0.00164, BC Loss: 0.00001, fc loss: 0.00014, reg_loss:  0.849437, min loss: 0.00179
17500/60000 mse loss: 0.001754, PDE Loss: 0.00162, BC Loss: 0.00001, fc loss: 0.00013, reg_loss:  0.849464, min loss: 0.00175
18000/60000 mse loss: 0.001703, PDE Loss: 0.00159, BC Loss: 0.00001, fc loss: 0.00010, reg_loss:  0.849497, min loss: 0.00170
18500/60000 mse loss: 0.001688, PDE Loss: 0.00158, BC Loss: 0.00001, fc loss: 0.00009, reg_loss:  0.849525, min loss: 0.00169
19000/60000 mse loss: 0.001661, PDE Loss: 0.00157, BC Loss: 0.00001, fc loss: 0.00008, reg_loss:  0.849555, min loss: 0.00166
19500/60000 mse loss: 0.001629, PDE Loss: 0.00155, BC Loss: 0.00001, fc loss: 0.00007, reg_loss:  0.849589, min loss: 0.00163
20000/60000 mse loss: 0.001596, PDE Loss: 0.00153, BC Loss: 0.00001, fc loss: 0.00006, reg_loss:  0.849626, min loss: 0.00160
20500/60000 mse loss: 0.001554, PDE Loss: 0.00150, BC Loss: 0.00001, fc loss: 0.00005, reg_loss:  0.849667, min loss: 0.00155
21000/60000 mse loss: 0.001538, PDE Loss: 0.00149, BC Loss: 0.00001, fc loss: 0.00004, reg_loss:  0.849698, min loss: 0.00154
21500/60000 mse loss: 0.001521, PDE Loss: 0.00147, BC Loss: 0.00001, fc loss: 0.00004, reg_loss:  0.849717, min loss: 0.00152
22000/60000 mse loss: 0.001505, PDE Loss: 0.00146, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849740, min loss: 0.00150
22500/60000 mse loss: 0.001484, PDE Loss: 0.00144, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849766, min loss: 0.00148
23000/60000 mse loss: 0.001459, PDE Loss: 0.00142, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849796, min loss: 0.00146
23500/60000 mse loss: 0.001429, PDE Loss: 0.00139, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849837, min loss: 0.00143
24000/60000 mse loss: 0.001407, PDE Loss: 0.00137, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849877, min loss: 0.00141
24500/60000 mse loss: 0.001394, PDE Loss: 0.00136, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849897, min loss: 0.00139
25000/60000 mse loss: 0.001380, PDE Loss: 0.00135, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849920, min loss: 0.00138
25500/60000 mse loss: 0.001359, PDE Loss: 0.00133, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849943, min loss: 0.00136
26000/60000 mse loss: 0.001337, PDE Loss: 0.00131, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849970, min loss: 0.00134
26500/60000 mse loss: 0.001310, PDE Loss: 0.00128, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849999, min loss: 0.00131
27000/60000 mse loss: 0.001277, PDE Loss: 0.00125, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850033, min loss: 0.00128
