0/60000 PDE Loss: 0.00019, BC Loss: 3671.54297, total loss: 3671.543213, minimum loss: 3671.54321
500/60000 PDE Loss: 0.00040, BC Loss: 2511.03955, total loss: 2511.040039, minimum loss: 2511.04004
1000/60000 PDE Loss: 0.00317, BC Loss: 1207.01245, total loss: 1207.015625, minimum loss: 1207.01562
1500/60000 PDE Loss: 0.00633, BC Loss: 244.75986, total loss: 244.766190, minimum loss: 244.76619
2000/60000 PDE Loss: 0.00430, BC Loss: 79.33062, total loss: 79.334923, minimum loss: 79.33492
2500/60000 PDE Loss: 0.03467, BC Loss: 73.96288, total loss: 73.997551, minimum loss: 73.99755
3000/60000 PDE Loss: 0.12812, BC Loss: 71.25127, total loss: 71.379395, minimum loss: 71.37939
3500/60000 PDE Loss: 0.32444, BC Loss: 68.03030, total loss: 68.354744, minimum loss: 68.35474
4000/60000 PDE Loss: 0.68642, BC Loss: 64.16986, total loss: 64.856285, minimum loss: 64.85629
4500/60000 PDE Loss: 1.49864, BC Loss: 58.49059, total loss: 59.989227, minimum loss: 59.98923
5000/60000 PDE Loss: 3.01815, BC Loss: 51.76934, total loss: 54.787483, minimum loss: 54.78748
5500/60000 PDE Loss: 3.99042, BC Loss: 46.28996, total loss: 50.280380, minimum loss: 50.28038
6000/60000 PDE Loss: 4.74058, BC Loss: 40.90026, total loss: 45.640842, minimum loss: 45.64084
6500/60000 PDE Loss: 5.01300, BC Loss: 35.73155, total loss: 40.744553, minimum loss: 40.74455
7000/60000 PDE Loss: 4.73387, BC Loss: 30.73586, total loss: 35.469734, minimum loss: 35.46973
7500/60000 PDE Loss: 4.10095, BC Loss: 25.78408, total loss: 29.885036, minimum loss: 29.88504
8000/60000 PDE Loss: 3.34444, BC Loss: 20.91229, total loss: 24.256737, minimum loss: 24.25674
8500/60000 PDE Loss: 2.62873, BC Loss: 16.31411, total loss: 18.942842, minimum loss: 18.94284
9000/60000 PDE Loss: 2.04324, BC Loss: 12.29021, total loss: 14.333448, minimum loss: 14.33345
9500/60000 PDE Loss: 1.63187, BC Loss: 9.05091, total loss: 10.682775, minimum loss: 10.68277
10000/60000 PDE Loss: 1.36232, BC Loss: 6.68334, total loss: 8.045665, minimum loss: 8.04566
10500/60000 PDE Loss: 1.16546, BC Loss: 5.02380, total loss: 6.189265, minimum loss: 6.18927
11000/60000 PDE Loss: 0.97981, BC Loss: 3.81803, total loss: 4.797842, minimum loss: 4.79784
11500/60000 PDE Loss: 0.78862, BC Loss: 2.89720, total loss: 3.685819, minimum loss: 3.68582
12000/60000 PDE Loss: 0.61299, BC Loss: 2.14264, total loss: 2.755629, minimum loss: 2.75563
12500/60000 PDE Loss: 0.45578, BC Loss: 1.50318, total loss: 1.958951, minimum loss: 1.95895
13000/60000 PDE Loss: 0.33467, BC Loss: 0.92956, total loss: 1.264230, minimum loss: 1.26423
13500/60000 PDE Loss: 0.38314, BC Loss: 0.40028, total loss: 0.783416, minimum loss: 0.78305
14000/60000 PDE Loss: 0.59506, BC Loss: 0.20248, total loss: 0.797537, minimum loss: 0.77588
14500/60000 PDE Loss: 0.47334, BC Loss: 0.12960, total loss: 0.602941, minimum loss: 0.60294
15000/60000 PDE Loss: 0.38223, BC Loss: 0.07564, total loss: 0.457870, minimum loss: 0.45787
15500/60000 PDE Loss: 0.31413, BC Loss: 0.04087, total loss: 0.355004, minimum loss: 0.35500
16000/60000 PDE Loss: 0.25860, BC Loss: 0.02183, total loss: 0.280437, minimum loss: 0.28044
16500/60000 PDE Loss: 0.21194, BC Loss: 0.01193, total loss: 0.223865, minimum loss: 0.22386
17000/60000 PDE Loss: 0.17329, BC Loss: 0.01050, total loss: 0.183788, minimum loss: 0.18062
17500/60000 PDE Loss: 0.14078, BC Loss: 0.00382, total loss: 0.144606, minimum loss: 0.14461
18000/60000 PDE Loss: 0.11346, BC Loss: 0.00201, total loss: 0.115466, minimum loss: 0.11547
18500/60000 PDE Loss: 0.09140, BC Loss: 0.00112, total loss: 0.092523, minimum loss: 0.09252
19000/60000 PDE Loss: 0.07331, BC Loss: 0.00083, total loss: 0.074136, minimum loss: 0.07399
19500/60000 PDE Loss: 0.05896, BC Loss: 0.00042, total loss: 0.059377, minimum loss: 0.05938
20000/60000 PDE Loss: 0.04686, BC Loss: 0.00028, total loss: 0.047136, minimum loss: 0.04714
20500/60000 PDE Loss: 0.03766, BC Loss: 0.00020, total loss: 0.037857, minimum loss: 0.03786
21000/60000 PDE Loss: 0.02986, BC Loss: 0.00035, total loss: 0.030210, minimum loss: 0.03010
21500/60000 PDE Loss: 0.02381, BC Loss: 0.00013, total loss: 0.023936, minimum loss: 0.02394
22000/60000 PDE Loss: 0.01908, BC Loss: 0.00014, total loss: 0.019224, minimum loss: 0.01922
22500/60000 PDE Loss: 0.01535, BC Loss: 0.00011, total loss: 0.015452, minimum loss: 0.01545
23000/60000 PDE Loss: 0.01229, BC Loss: 0.00011, total loss: 0.012400, minimum loss: 0.01240
23500/60000 PDE Loss: 0.00984, BC Loss: 0.00133, total loss: 0.011174, minimum loss: 0.00999
24000/60000 PDE Loss: 0.00806, BC Loss: 0.00009, total loss: 0.008158, minimum loss: 0.00816
24500/60000 PDE Loss: 0.00673, BC Loss: 0.00009, total loss: 0.006816, minimum loss: 0.00682
25000/60000 PDE Loss: 0.00559, BC Loss: 0.00008, total loss: 0.005672, minimum loss: 0.00567
25500/60000 PDE Loss: 0.00466, BC Loss: 0.00007, total loss: 0.004732, minimum loss: 0.00473
26000/60000 PDE Loss: 0.00374, BC Loss: 0.00007, total loss: 0.003810, minimum loss: 0.00381
26500/60000 PDE Loss: 0.00309, BC Loss: 0.00006, total loss: 0.003150, minimum loss: 0.00315
27000/60000 PDE Loss: 0.00248, BC Loss: 0.00005, total loss: 0.002531, minimum loss: 0.00253
