0/60000 PDE Loss: 0.00012, BC Loss: 4275.059570, fc loss:  1942.970947, total loss: 6218.030273, minimum loss: 6218.03027
500/60000 PDE Loss: 0.00023, BC Loss: 3161.380371, fc loss:  1364.743652, total loss: 4526.124023, minimum loss: 4526.12402
1000/60000 PDE Loss: 0.00584, BC Loss: 1825.971802, fc loss:  715.874756, total loss: 2541.852539, minimum loss: 2541.85254
1500/60000 PDE Loss: 0.04883, BC Loss: 572.268738, fc loss:  214.140869, total loss: 786.458435, minimum loss: 786.45844
2000/60000 PDE Loss: 0.30044, BC Loss: 94.363739, fc loss:  139.145569, total loss: 233.809753, minimum loss: 233.80975
2500/60000 PDE Loss: 1.12589, BC Loss: 30.544010, fc loss:  155.012863, total loss: 186.682770, minimum loss: 186.68277
3000/60000 PDE Loss: 2.42080, BC Loss: 23.008890, fc loss:  147.799713, total loss: 173.229401, minimum loss: 173.22940
3500/60000 PDE Loss: 3.98866, BC Loss: 20.324154, fc loss:  137.362778, total loss: 161.675583, minimum loss: 161.67558
4000/60000 PDE Loss: 6.18169, BC Loss: 18.107983, fc loss:  125.919815, total loss: 150.209488, minimum loss: 150.20949
4500/60000 PDE Loss: 9.12757, BC Loss: 16.036676, fc loss:  114.013557, total loss: 139.177795, minimum loss: 139.17780
5000/60000 PDE Loss: 12.39070, BC Loss: 14.001269, fc loss:  102.001564, total loss: 128.393524, minimum loss: 128.39352
5500/60000 PDE Loss: 15.86681, BC Loss: 12.036627, fc loss:  90.285751, total loss: 118.189186, minimum loss: 118.18919
6000/60000 PDE Loss: 19.15361, BC Loss: 10.302407, fc loss:  79.255081, total loss: 108.711090, minimum loss: 108.71109
6500/60000 PDE Loss: 21.64865, BC Loss: 8.798395, fc loss:  69.334450, total loss: 99.781494, minimum loss: 99.78149
7000/60000 PDE Loss: 23.04122, BC Loss: 7.470782, fc loss:  60.245819, total loss: 90.757820, minimum loss: 90.75782
7500/60000 PDE Loss: 22.91302, BC Loss: 6.396935, fc loss:  52.379250, total loss: 81.689201, minimum loss: 81.68920
8000/60000 PDE Loss: 21.70358, BC Loss: 5.431603, fc loss:  44.925369, total loss: 72.060562, minimum loss: 72.06056
8500/60000 PDE Loss: 20.12776, BC Loss: 4.539295, fc loss:  37.644569, total loss: 62.311630, minimum loss: 62.31163
9000/60000 PDE Loss: 17.50669, BC Loss: 3.715712, fc loss:  30.799299, total loss: 52.021698, minimum loss: 52.02170
9500/60000 PDE Loss: 14.55451, BC Loss: 2.926757, fc loss:  24.220247, total loss: 41.701515, minimum loss: 41.70152
10000/60000 PDE Loss: 11.52055, BC Loss: 2.211368, fc loss:  18.244829, total loss: 31.976749, minimum loss: 31.97675
10500/60000 PDE Loss: 8.18090, BC Loss: 1.549646, fc loss:  12.783179, total loss: 22.513725, minimum loss: 22.51373
11000/60000 PDE Loss: 5.21801, BC Loss: 0.994615, fc loss:  8.161179, total loss: 14.373806, minimum loss: 14.37381
11500/60000 PDE Loss: 2.88037, BC Loss: 0.590827, fc loss:  4.617286, total loss: 8.088479, minimum loss: 8.08848
12000/60000 PDE Loss: 1.33769, BC Loss: 0.281880, fc loss:  2.257452, total loss: 3.877022, minimum loss: 3.87702
12500/60000 PDE Loss: 0.50860, BC Loss: 0.110890, fc loss:  0.905336, total loss: 1.524824, minimum loss: 1.52482
13000/60000 PDE Loss: 0.15485, BC Loss: 0.032512, fc loss:  0.283802, total loss: 0.471166, minimum loss: 0.47117
13500/60000 PDE Loss: 0.03870, BC Loss: 0.008668, fc loss:  0.064006, total loss: 0.111379, minimum loss: 0.11138
