0/60000 PDE Loss: 0.00098, BC Loss: 4291.06104, total loss: 4291.062012, neural network loss: -5530.423828
500/60000 PDE Loss: 0.02650, BC Loss: 105.42360, total loss: 105.450104, neural network loss: 160.043625
1000/60000 PDE Loss: 0.11946, BC Loss: 101.93536, total loss: 102.054817, neural network loss: 160.723633
1500/60000 PDE Loss: 0.31457, BC Loss: 97.29599, total loss: 97.610565, neural network loss: 157.620392
2000/60000 PDE Loss: 0.63795, BC Loss: 92.70820, total loss: 93.346153, neural network loss: 155.309860
2500/60000 PDE Loss: 0.95524, BC Loss: 87.07766, total loss: 88.032906, neural network loss: 148.953644
3000/60000 PDE Loss: 0.97691, BC Loss: 83.82030, total loss: 84.797211, neural network loss: 149.808807
3500/60000 PDE Loss: 0.36891, BC Loss: 79.46974, total loss: 79.838654, neural network loss: 132.014221
4000/60000 PDE Loss: 0.13144, BC Loss: 75.54202, total loss: 75.673462, neural network loss: 116.877548
4500/60000 PDE Loss: 0.07695, BC Loss: 71.96567, total loss: 72.042618, neural network loss: 109.343605
5000/60000 PDE Loss: 0.04429, BC Loss: 77.72810, total loss: 77.772392, neural network loss: 162.125443
5500/60000 PDE Loss: 0.04281, BC Loss: 65.48936, total loss: 65.532166, neural network loss: 99.874657
6000/60000 PDE Loss: 0.06577, BC Loss: 57.70810, total loss: 57.773869, neural network loss: 83.607430
6500/60000 PDE Loss: 0.02807, BC Loss: 46.85758, total loss: 46.885651, neural network loss: 51.836994
7000/60000 PDE Loss: 0.00797, BC Loss: 39.54140, total loss: 39.549366, neural network loss: 32.783852
7500/60000 PDE Loss: 0.03242, BC Loss: 29.41727, total loss: 29.449686, neural network loss: 22.479763
8000/60000 PDE Loss: 0.02491, BC Loss: 22.67880, total loss: 22.703718, neural network loss: 12.713593
8500/60000 PDE Loss: 0.01734, BC Loss: 17.40004, total loss: 17.417377, neural network loss: 7.369011
9000/60000 PDE Loss: 0.01182, BC Loss: 13.58644, total loss: 13.598265, neural network loss: 4.690919
9500/60000 PDE Loss: 0.00872, BC Loss: 10.77606, total loss: 10.784781, neural network loss: 3.025040
10000/60000 PDE Loss: 0.00704, BC Loss: 8.62468, total loss: 8.631723, neural network loss: 2.127833
10500/60000 PDE Loss: 0.00579, BC Loss: 7.02537, total loss: 7.031165, neural network loss: 1.545388
11000/60000 PDE Loss: 0.00497, BC Loss: 5.80660, total loss: 5.811563, neural network loss: 1.166174
11500/60000 PDE Loss: 0.00443, BC Loss: 4.86516, total loss: 4.869584, neural network loss: 0.908156
12000/60000 PDE Loss: 0.00365, BC Loss: 4.27018, total loss: 4.273827, neural network loss: 0.751542
12500/60000 PDE Loss: 0.00318, BC Loss: 3.73110, total loss: 3.734287, neural network loss: 0.630396
13000/60000 PDE Loss: 0.00256, BC Loss: 3.30333, total loss: 3.305893, neural network loss: 0.538833
13500/60000 PDE Loss: 0.00219, BC Loss: 2.95641, total loss: 2.958595, neural network loss: 0.472557
14000/60000 PDE Loss: 0.00195, BC Loss: 2.65304, total loss: 2.654998, neural network loss: 0.419248
14500/60000 PDE Loss: 0.00183, BC Loss: 2.37704, total loss: 2.378875, neural network loss: 0.373137
15000/60000 PDE Loss: 0.00191, BC Loss: 2.11940, total loss: 2.121314, neural network loss: 0.331300
15500/60000 PDE Loss: 0.00228, BC Loss: 1.84845, total loss: 1.850734, neural network loss: 0.282977
16000/60000 PDE Loss: 0.00305, BC Loss: 1.60930, total loss: 1.612354, neural network loss: 0.246073
16500/60000 PDE Loss: 0.00314, BC Loss: 1.48934, total loss: 1.492479, neural network loss: 0.229953
17000/60000 PDE Loss: 0.00324, BC Loss: 1.38965, total loss: 1.392891, neural network loss: 0.217597
17500/60000 PDE Loss: 0.00317, BC Loss: 1.30419, total loss: 1.307361, neural network loss: 0.204622
18000/60000 PDE Loss: 0.00322, BC Loss: 1.23624, total loss: 1.239460, neural network loss: 0.197098
18500/60000 PDE Loss: 0.00325, BC Loss: 1.18893, total loss: 1.192172, neural network loss: 0.194365
19000/60000 PDE Loss: 0.00304, BC Loss: 1.13739, total loss: 1.140425, neural network loss: 0.184460
19500/60000 PDE Loss: 0.00288, BC Loss: 1.09297, total loss: 1.095845, neural network loss: 0.176401
20000/60000 PDE Loss: 0.00284, BC Loss: 1.05486, total loss: 1.057697, neural network loss: 0.171353
