0/60000 PDE Loss: 0.00052, BC Loss: 3689.21313, total loss: 5.055919
500/60000 PDE Loss: 0.00552, BC Loss: 1139.06860, total loss: 30.762175
1000/60000 PDE Loss: 0.00101, BC Loss: 3939.27148, total loss: -46.920525
1500/60000 PDE Loss: 0.00077, BC Loss: 4525.76025, total loss: 37.045029
2000/60000 PDE Loss: 0.00585, BC Loss: 184.74893, total loss: 20.255516
2500/60000 PDE Loss: 0.00968, BC Loss: 5647.81592, total loss: 42.885147
3000/60000 PDE Loss: 0.00167, BC Loss: 1287.20984, total loss: -39.758217
3500/60000 PDE Loss: 0.00456, BC Loss: 4505.26514, total loss: 38.436874
4000/60000 PDE Loss: 0.00265, BC Loss: 1254.79675, total loss: -38.777576
4500/60000 PDE Loss: 0.00680, BC Loss: 3909.37402, total loss: 36.699512
5000/60000 PDE Loss: 0.00412, BC Loss: 1848.52319, total loss: -44.470890
5500/60000 PDE Loss: 0.00582, BC Loss: 2922.48315, total loss: 34.272362
6000/60000 PDE Loss: 0.01147, BC Loss: 2953.95020, total loss: -45.457600
6500/60000 PDE Loss: 0.00430, BC Loss: 1602.15063, total loss: 27.700178
7000/60000 PDE Loss: 0.00559, BC Loss: 4179.97021, total loss: -33.588017
7500/60000 PDE Loss: 0.00073, BC Loss: 95.52676, total loss: 0.621316
8000/60000 PDE Loss: 0.00471, BC Loss: 4927.51270, total loss: -10.715432
8500/60000 PDE Loss: 0.00733, BC Loss: 16301.38867, total loss: -65.420181
9000/60000 PDE Loss: 0.00320, BC Loss: 4370.84424, total loss: 15.212910
9500/60000 PDE Loss: 0.00042, BC Loss: 1659.43433, total loss: 53.028496
10000/60000 PDE Loss: 0.00390, BC Loss: 1444.91846, total loss: 23.788412
10500/60000 PDE Loss: 0.00418, BC Loss: 3797.17456, total loss: -16.189779
11000/60000 PDE Loss: 0.00904, BC Loss: 21931.42969, total loss: -18.665171
11500/60000 PDE Loss: 0.00467, BC Loss: 1952.45789, total loss: 24.287529
12000/60000 PDE Loss: 0.00414, BC Loss: 3211.71631, total loss: -13.827971
12500/60000 PDE Loss: 0.00211, BC Loss: 6327.01221, total loss: 55.362663
13000/60000 PDE Loss: 0.00024, BC Loss: 111.02140, total loss: -6.598456
13500/60000 PDE Loss: 0.00285, BC Loss: 2011.87061, total loss: 19.338104
14000/60000 PDE Loss: 0.00150, BC Loss: 2431.94702, total loss: -4.771362
14500/60000 PDE Loss: 0.00074, BC Loss: 925.75732, total loss: -19.081261
15000/60000 PDE Loss: 0.00035, BC Loss: 396.73752, total loss: 21.747763
15500/60000 PDE Loss: 0.00155, BC Loss: 2713.19531, total loss: 25.618919
16000/60000 PDE Loss: 0.00167, BC Loss: 2669.80591, total loss: 17.123055
16500/60000 PDE Loss: 0.00090, BC Loss: 1257.25037, total loss: 20.683294
17000/60000 PDE Loss: 0.00022, BC Loss: 77.50414, total loss: 6.117478
17500/60000 PDE Loss: 0.00019, BC Loss: 776.54700, total loss: -4.796932
18000/60000 PDE Loss: 0.00013, BC Loss: 537.83234, total loss: 9.411908
18500/60000 PDE Loss: 0.00071, BC Loss: 437.39926, total loss: 2.298100
19000/60000 PDE Loss: 0.00013, BC Loss: 510.99841, total loss: 3.963497
19500/60000 PDE Loss: 0.00048, BC Loss: 126.39401, total loss: 8.125810
20000/60000 PDE Loss: 0.00044, BC Loss: 81.00220, total loss: 4.209288
20500/60000 PDE Loss: 0.00045, BC Loss: 77.23534, total loss: 6.084636
21000/60000 PDE Loss: 0.00042, BC Loss: 87.28333, total loss: 9.459814
21500/60000 PDE Loss: 0.00044, BC Loss: 103.94665, total loss: 10.886505
22000/60000 PDE Loss: 0.00052, BC Loss: 96.91358, total loss: 14.199514
22500/60000 PDE Loss: 0.00060, BC Loss: 106.43298, total loss: 19.435978
23000/60000 PDE Loss: 0.00075, BC Loss: 104.64189, total loss: 28.687794
23500/60000 PDE Loss: 0.00100, BC Loss: 101.03024, total loss: 48.586498
24000/60000 PDE Loss: 0.00154, BC Loss: 95.72292, total loss: 107.906570
24500/60000 PDE Loss: 0.00350, BC Loss: 89.28897, total loss: 530.115051
25000/60000 PDE Loss: 1.23248, BC Loss: 19938.41992, total loss: 177.198166
25500/60000 PDE Loss: 0.00630, BC Loss: 86.07317, total loss: -210.125656
26000/60000 PDE Loss: 0.00379, BC Loss: 112.48355, total loss: -48.191704
26500/60000 PDE Loss: 0.00218, BC Loss: 119.93948, total loss: -17.985229
27000/60000 PDE Loss: 0.00132, BC Loss: 122.75658, total loss: -7.370058
27500/60000 PDE Loss: 0.00094, BC Loss: 123.39651, total loss: -1.700066
28000/60000 PDE Loss: 0.00071, BC Loss: 122.92668, total loss: 2.064706
28500/60000 PDE Loss: 0.00052, BC Loss: 121.64970, total loss: 5.710316
29000/60000 PDE Loss: 0.00043, BC Loss: 119.32723, total loss: 10.608137
29500/60000 PDE Loss: 0.00048, BC Loss: 115.30936, total loss: 19.400335
30000/60000 PDE Loss: 0.00055, BC Loss: 108.43848, total loss: 40.505035
30500/60000 PDE Loss: 0.00148, BC Loss: 70.17603, total loss: 107.311432
31000/60000 PDE Loss: 0.08216, BC Loss: 50.25636, total loss: -186.840836
31500/60000 PDE Loss: 0.19927, BC Loss: 3441.33838, total loss: -35.111217
32000/60000 PDE Loss: 0.10540, BC Loss: 2068.03662, total loss: 247.471375
