0/60000 PDE Loss: 0.00005, BC Loss: 3395.60425, reg_loss:  0.904837, total loss: 3395.604248
500/60000 PDE Loss: 0.00010, BC Loss: 3345.57153, reg_loss:  0.904232, total loss: 3345.571533
1000/60000 PDE Loss: 0.00022, BC Loss: 2871.64062, reg_loss:  0.893880, total loss: 2871.640869
1500/60000 PDE Loss: 0.00022, BC Loss: 952.22375, reg_loss:  0.881100, total loss: 952.223999
2000/60000 PDE Loss: 0.00206, BC Loss: 78.18291, reg_loss:  0.873482, total loss: 78.184975
2500/60000 PDE Loss: 0.00521, BC Loss: 67.86243, reg_loss:  0.868486, total loss: 67.867645
3000/60000 PDE Loss: 0.00420, BC Loss: 62.32496, reg_loss:  0.861970, total loss: 62.329155
3500/60000 PDE Loss: 0.00049, BC Loss: 55.18016, reg_loss:  0.855265, total loss: 55.180653
4000/60000 PDE Loss: 0.02734, BC Loss: 45.96505, reg_loss:  0.848580, total loss: 45.992393
4500/60000 PDE Loss: 0.21280, BC Loss: 35.01305, reg_loss:  0.842236, total loss: 35.225845
5000/60000 PDE Loss: 0.74371, BC Loss: 23.89579, reg_loss:  0.837112, total loss: 24.639500
5500/60000 PDE Loss: 1.41988, BC Loss: 14.71165, reg_loss:  0.833862, total loss: 16.131531
6000/60000 PDE Loss: 1.48607, BC Loss: 8.37533, reg_loss:  0.832636, total loss: 9.861395
6500/60000 PDE Loss: 0.99008, BC Loss: 4.45716, reg_loss:  0.832779, total loss: 5.447241
7000/60000 PDE Loss: 0.51256, BC Loss: 2.18724, reg_loss:  0.833393, total loss: 2.699799
7500/60000 PDE Loss: 0.23655, BC Loss: 1.07315, reg_loss:  0.833944, total loss: 1.309692
8000/60000 PDE Loss: 0.11307, BC Loss: 0.59798, reg_loss:  0.834264, total loss: 0.711047
8500/60000 PDE Loss: 0.06194, BC Loss: 0.32978, reg_loss:  0.834317, total loss: 0.391715
9000/60000 PDE Loss: 0.04425, BC Loss: 0.16862, reg_loss:  0.834183, total loss: 0.212878
9500/60000 PDE Loss: 0.03588, BC Loss: 0.07284, reg_loss:  0.834022, total loss: 0.108724
10000/60000 PDE Loss: 0.02996, BC Loss: 0.02578, reg_loss:  0.833957, total loss: 0.055746
10500/60000 PDE Loss: 0.02462, BC Loss: 0.00841, reg_loss:  0.834062, total loss: 0.033035
11000/60000 PDE Loss: 0.01983, BC Loss: 0.00335, reg_loss:  0.834318, total loss: 0.023178
11500/60000 PDE Loss: 0.01597, BC Loss: 0.00187, reg_loss:  0.834659, total loss: 0.017837
12000/60000 PDE Loss: 0.01287, BC Loss: 0.00193, reg_loss:  0.835024, total loss: 0.014794
12500/60000 PDE Loss: 0.01041, BC Loss: 0.00092, reg_loss:  0.835383, total loss: 0.011323
13000/60000 PDE Loss: 0.00845, BC Loss: 0.00074, reg_loss:  0.835726, total loss: 0.009187
13500/60000 PDE Loss: 0.00697, BC Loss: 0.00055, reg_loss:  0.836051, total loss: 0.007523
14000/60000 PDE Loss: 0.00571, BC Loss: 0.00044, reg_loss:  0.836351, total loss: 0.006154
14500/60000 PDE Loss: 0.00471, BC Loss: 0.00037, reg_loss:  0.836620, total loss: 0.005086
15000/60000 PDE Loss: 0.00395, BC Loss: 0.00041, reg_loss:  0.836854, total loss: 0.004357
15500/60000 PDE Loss: 0.00336, BC Loss: 0.00021, reg_loss:  0.837058, total loss: 0.003576
16000/60000 PDE Loss: 0.00285, BC Loss: 0.00021, reg_loss:  0.837229, total loss: 0.003065
16500/60000 PDE Loss: 0.00247, BC Loss: 0.00052, reg_loss:  0.837375, total loss: 0.002995
17000/60000 PDE Loss: 0.00216, BC Loss: 0.00050, reg_loss:  0.837498, total loss: 0.002663
17500/60000 PDE Loss: 0.00192, BC Loss: 0.00032, reg_loss:  0.837602, total loss: 0.002243
18000/60000 PDE Loss: 0.00173, BC Loss: 0.00048, reg_loss:  0.837686, total loss: 0.002213
18500/60000 PDE Loss: 0.00157, BC Loss: 0.00026, reg_loss:  0.837760, total loss: 0.001823
19000/60000 PDE Loss: 0.00146, BC Loss: 0.00006, reg_loss:  0.837828, total loss: 0.001522
19500/60000 PDE Loss: 0.00136, BC Loss: 0.00018, reg_loss:  0.837890, total loss: 0.001546
20000/60000 PDE Loss: 0.00127, BC Loss: 0.00011, reg_loss:  0.837950, total loss: 0.001377
20500/60000 PDE Loss: 0.00119, BC Loss: 0.00199, reg_loss:  0.838002, total loss: 0.003184
21000/60000 PDE Loss: 0.00113, BC Loss: 0.00003, reg_loss:  0.838049, total loss: 0.001157
21500/60000 PDE Loss: 0.00106, BC Loss: 0.00006, reg_loss:  0.838090, total loss: 0.001117
22000/60000 PDE Loss: 0.00101, BC Loss: 0.00066, reg_loss:  0.838127, total loss: 0.001671
22500/60000 PDE Loss: 0.00097, BC Loss: 0.00003, reg_loss:  0.838151, total loss: 0.001000
23000/60000 PDE Loss: 0.00093, BC Loss: 0.00009, reg_loss:  0.838166, total loss: 0.001014
23500/60000 PDE Loss: 0.00089, BC Loss: 0.00032, reg_loss:  0.838172, total loss: 0.001215
24000/60000 PDE Loss: 0.00086, BC Loss: 0.00006, reg_loss:  0.838172, total loss: 0.000921
24500/60000 PDE Loss: 0.00084, BC Loss: 0.00027, reg_loss:  0.838169, total loss: 0.001108
25000/60000 PDE Loss: 0.00081, BC Loss: 0.00019, reg_loss:  0.838162, total loss: 0.001008
25500/60000 PDE Loss: 0.00079, BC Loss: 0.00014, reg_loss:  0.838150, total loss: 0.000931
26000/60000 PDE Loss: 0.00077, BC Loss: 0.00008, reg_loss:  0.838128, total loss: 0.000850
26500/60000 PDE Loss: 0.00075, BC Loss: 0.00004, reg_loss:  0.838089, total loss: 0.000790
