0/60000 PDE Loss: 0.00018, BC Loss: 3390.21045, reg_loss:  0.904837, total loss: 3390.210693
500/60000 PDE Loss: 0.00293, BC Loss: 957.79846, reg_loss:  0.894134, total loss: 957.801392
1000/60000 PDE Loss: 0.38525, BC Loss: 71.62855, reg_loss:  0.884677, total loss: 72.013802
1500/60000 PDE Loss: 3.47455, BC Loss: 61.26965, reg_loss:  0.877300, total loss: 64.744202
2000/60000 PDE Loss: 7.47859, BC Loss: 53.13667, reg_loss:  0.873772, total loss: 60.615257
2500/60000 PDE Loss: 8.07012, BC Loss: 48.27487, reg_loss:  0.873481, total loss: 56.344982
3000/60000 PDE Loss: 7.58997, BC Loss: 42.12788, reg_loss:  0.873943, total loss: 49.717846
3500/60000 PDE Loss: 6.45712, BC Loss: 33.57191, reg_loss:  0.874555, total loss: 40.029037
4000/60000 PDE Loss: 4.86160, BC Loss: 23.35194, reg_loss:  0.874751, total loss: 28.213533
4500/60000 PDE Loss: 3.12454, BC Loss: 13.83115, reg_loss:  0.874710, total loss: 16.955685
5000/60000 PDE Loss: 1.70996, BC Loss: 6.82959, reg_loss:  0.875252, total loss: 8.539557
5500/60000 PDE Loss: 0.78687, BC Loss: 2.76342, reg_loss:  0.875331, total loss: 3.550292
6000/60000 PDE Loss: 0.28379, BC Loss: 0.79158, reg_loss:  0.875195, total loss: 1.075365
6500/60000 PDE Loss: 0.08979, BC Loss: 0.17798, reg_loss:  0.875010, total loss: 0.267777
7000/60000 PDE Loss: 0.04565, BC Loss: 0.04115, reg_loss:  0.874660, total loss: 0.086807
7500/60000 PDE Loss: 0.02676, BC Loss: 0.02195, reg_loss:  0.874381, total loss: 0.048709
8000/60000 PDE Loss: 0.01549, BC Loss: 0.00378, reg_loss:  0.874320, total loss: 0.019276
8500/60000 PDE Loss: 0.00858, BC Loss: 0.00157, reg_loss:  0.874321, total loss: 0.010153
9000/60000 PDE Loss: 0.00454, BC Loss: 0.00072, reg_loss:  0.874338, total loss: 0.005266
9500/60000 PDE Loss: 0.00241, BC Loss: 0.00020, reg_loss:  0.874360, total loss: 0.002610
10000/60000 PDE Loss: 0.00143, BC Loss: 0.00341, reg_loss:  0.874384, total loss: 0.004840
10500/60000 PDE Loss: 0.00103, BC Loss: 0.00010, reg_loss:  0.874402, total loss: 0.001130
11000/60000 PDE Loss: 0.00089, BC Loss: 0.00045, reg_loss:  0.874415, total loss: 0.001336
11500/60000 PDE Loss: 0.00084, BC Loss: 0.00028, reg_loss:  0.874439, total loss: 0.001117
12000/60000 PDE Loss: 0.00082, BC Loss: 0.00221, reg_loss:  0.874468, total loss: 0.003027
12500/60000 PDE Loss: 0.00080, BC Loss: 0.00063, reg_loss:  0.874496, total loss: 0.001436
13000/60000 PDE Loss: 0.00078, BC Loss: 0.00021, reg_loss:  0.874514, total loss: 0.000988
13500/60000 PDE Loss: 0.00077, BC Loss: 0.00005, reg_loss:  0.874532, total loss: 0.000814
14000/60000 PDE Loss: 0.00076, BC Loss: 0.00081, reg_loss:  0.874546, total loss: 0.001566
14500/60000 PDE Loss: 0.00077, BC Loss: 0.00130, reg_loss:  0.874558, total loss: 0.002068
15000/60000 PDE Loss: 0.00073, BC Loss: 0.00056, reg_loss:  0.874572, total loss: 0.001289
15500/60000 PDE Loss: 0.00071, BC Loss: 0.00118, reg_loss:  0.874587, total loss: 0.001892
16000/60000 PDE Loss: 0.00071, BC Loss: 0.00040, reg_loss:  0.874606, total loss: 0.001106
16500/60000 PDE Loss: 0.00068, BC Loss: 0.00191, reg_loss:  0.874622, total loss: 0.002592
17000/60000 PDE Loss: 0.00066, BC Loss: 0.00243, reg_loss:  0.874639, total loss: 0.003090
17500/60000 PDE Loss: 0.00067, BC Loss: 0.00007, reg_loss:  0.874658, total loss: 0.000736
18000/60000 PDE Loss: 0.00065, BC Loss: 0.00155, reg_loss:  0.874675, total loss: 0.002192
18500/60000 PDE Loss: 0.00064, BC Loss: 0.00089, reg_loss:  0.874685, total loss: 0.001529
19000/60000 PDE Loss: 0.00062, BC Loss: 0.00076, reg_loss:  0.874691, total loss: 0.001381
19500/60000 PDE Loss: 0.00061, BC Loss: 0.00476, reg_loss:  0.874697, total loss: 0.005369
20000/60000 PDE Loss: 0.00060, BC Loss: 0.00292, reg_loss:  0.874705, total loss: 0.003520
20500/60000 PDE Loss: 0.00060, BC Loss: 0.00106, reg_loss:  0.874711, total loss: 0.001664
21000/60000 PDE Loss: 0.00059, BC Loss: 0.00072, reg_loss:  0.874714, total loss: 0.001312
21500/60000 PDE Loss: 0.00059, BC Loss: 0.00309, reg_loss:  0.874721, total loss: 0.003679
22000/60000 PDE Loss: 0.00058, BC Loss: 0.00420, reg_loss:  0.874733, total loss: 0.004780
22500/60000 PDE Loss: 0.00058, BC Loss: 0.00052, reg_loss:  0.874747, total loss: 0.001099
23000/60000 PDE Loss: 0.00058, BC Loss: 0.00085, reg_loss:  0.874762, total loss: 0.001428
23500/60000 PDE Loss: 0.00058, BC Loss: 0.00606, reg_loss:  0.874778, total loss: 0.006640
24000/60000 PDE Loss: 0.00058, BC Loss: 0.00079, reg_loss:  0.874795, total loss: 0.001367
24500/60000 PDE Loss: 0.00058, BC Loss: 0.00064, reg_loss:  0.874810, total loss: 0.001219
25000/60000 PDE Loss: 0.00057, BC Loss: 0.00008, reg_loss:  0.874821, total loss: 0.000657
25500/60000 PDE Loss: 0.00057, BC Loss: 0.00086, reg_loss:  0.874831, total loss: 0.001438
26000/60000 PDE Loss: 0.00057, BC Loss: 0.00037, reg_loss:  0.874842, total loss: 0.000939
26500/60000 PDE Loss: 0.00057, BC Loss: 0.00040, reg_loss:  0.874850, total loss: 0.000974
27000/60000 PDE Loss: 0.00057, BC Loss: 0.00065, reg_loss:  0.874858, total loss: 0.001228
27500/60000 PDE Loss: 0.00057, BC Loss: 0.00009, reg_loss:  0.874865, total loss: 0.000661
28000/60000 PDE Loss: 0.00057, BC Loss: 0.00388, reg_loss:  0.874871, total loss: 0.004452
28500/60000 PDE Loss: 0.00057, BC Loss: 0.00210, reg_loss:  0.874873, total loss: 0.002677
29000/60000 PDE Loss: 0.00057, BC Loss: 0.00028, reg_loss:  0.874878, total loss: 0.000855
29500/60000 PDE Loss: 0.00057, BC Loss: 0.00412, reg_loss:  0.874893, total loss: 0.004689
30000/60000 PDE Loss: 0.00057, BC Loss: 0.00118, reg_loss:  0.874918, total loss: 0.001755
30500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.874947, total loss: 0.000579
31000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.874976, total loss: 0.000578
31500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875011, total loss: 0.000578
32000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875060, total loss: 0.000578
32500/60000 PDE Loss: 0.00058, BC Loss: 0.00006, reg_loss:  0.875122, total loss: 0.000639
33000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875129, total loss: 0.000578
33500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875136, total loss: 0.000578
34000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875138, total loss: 0.000578
34500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875137, total loss: 0.000579
35000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875134, total loss: 0.000579
35500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875134, total loss: 0.000579
36000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875137, total loss: 0.000578
36500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875144, total loss: 0.000578
37000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875152, total loss: 0.000577
37500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875158, total loss: 0.000576
38000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875191, total loss: 0.000576
38500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875187, total loss: 0.000572
39000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875187, total loss: 0.000572
39500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875188, total loss: 0.000573
40000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875187, total loss: 0.000573
40500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875187, total loss: 0.000573
41000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875185, total loss: 0.000573
41500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875187, total loss: 0.000573
42000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875195, total loss: 0.000573
42500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.875209, total loss: 0.000572
43000/60000 PDE Loss: 0.00501, BC Loss: 0.03487, reg_loss:  0.875159, total loss: 0.039876
43500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875259, total loss: 0.000571
44000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875259, total loss: 0.000570
44500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875261, total loss: 0.000571
45000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875265, total loss: 0.000571
45500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875269, total loss: 0.000571
46000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875274, total loss: 0.000571
46500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875280, total loss: 0.000571
47000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875292, total loss: 0.000571
47500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875312, total loss: 0.000571
48000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875341, total loss: 0.000571
48500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875384, total loss: 0.000573
49000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875387, total loss: 0.000570
49500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875397, total loss: 0.000570
50000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875407, total loss: 0.000571
50500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875418, total loss: 0.000571
51000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875429, total loss: 0.000571
51500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875440, total loss: 0.000570
52000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875450, total loss: 0.000570
52500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875462, total loss: 0.000570
53000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875482, total loss: 0.000569
53500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875483, total loss: 0.000569
54000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875485, total loss: 0.000569
54500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875487, total loss: 0.000569
55000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875490, total loss: 0.000570
55500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875493, total loss: 0.000569
56000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875497, total loss: 0.000569
56500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875503, total loss: 0.000569
57000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875509, total loss: 0.000569
57500/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875554, total loss: 0.000571
58000/60000 PDE Loss: 0.00056, BC Loss: 0.00001, reg_loss:  0.875554, total loss: 0.000568
