0/60000 PDE Loss: 0.00474, BC Loss: 3505.92969, total loss: 3505.934326
500/60000 PDE Loss: 0.04452, BC Loss: 3152.65332, total loss: 3152.697754
1000/60000 PDE Loss: 0.10418, BC Loss: 2995.02832, total loss: 2995.132568
1500/60000 PDE Loss: 0.19594, BC Loss: 2835.91846, total loss: 2836.114502
2000/60000 PDE Loss: 0.26371, BC Loss: 2688.42236, total loss: 2688.686035
2500/60000 PDE Loss: 0.34183, BC Loss: 2550.28418, total loss: 2550.625977
3000/60000 PDE Loss: 0.42483, BC Loss: 2391.72168, total loss: 2392.146484
3500/60000 PDE Loss: 0.47265, BC Loss: 2238.17285, total loss: 2238.645508
4000/60000 PDE Loss: 0.52339, BC Loss: 2091.18970, total loss: 2091.713135
4500/60000 PDE Loss: 0.59885, BC Loss: 1956.93555, total loss: 1957.534424
5000/60000 PDE Loss: 0.68536, BC Loss: 1812.89624, total loss: 1813.581543
5500/60000 PDE Loss: 0.76493, BC Loss: 1674.45618, total loss: 1675.221069
6000/60000 PDE Loss: 0.84491, BC Loss: 1554.65100, total loss: 1555.495972
6500/60000 PDE Loss: 0.96489, BC Loss: 1443.29517, total loss: 1444.260010
7000/60000 PDE Loss: 1.03990, BC Loss: 1337.61938, total loss: 1338.659302
7500/60000 PDE Loss: 1.18087, BC Loss: 1237.17676, total loss: 1238.357666
8000/60000 PDE Loss: 1.26921, BC Loss: 1141.54895, total loss: 1142.818115
8500/60000 PDE Loss: 1.40232, BC Loss: 1050.54614, total loss: 1051.948486
9000/60000 PDE Loss: 1.75083, BC Loss: 964.42493, total loss: 966.175781
9500/60000 PDE Loss: 1.86638, BC Loss: 882.38019, total loss: 884.246582
10000/60000 PDE Loss: 2.04222, BC Loss: 804.65039, total loss: 806.692627
10500/60000 PDE Loss: 2.24054, BC Loss: 731.17920, total loss: 733.419739
11000/60000 PDE Loss: 2.47052, BC Loss: 661.91016, total loss: 664.380676
11500/60000 PDE Loss: 2.71103, BC Loss: 596.75775, total loss: 599.468750
12000/60000 PDE Loss: 2.98650, BC Loss: 535.63538, total loss: 538.621887
12500/60000 PDE Loss: 3.31217, BC Loss: 478.51453, total loss: 481.826691
13000/60000 PDE Loss: 3.67416, BC Loss: 425.31165, total loss: 428.985809
13500/60000 PDE Loss: 4.06073, BC Loss: 375.95273, total loss: 380.013458
14000/60000 PDE Loss: 4.35116, BC Loss: 330.44589, total loss: 334.797058
14500/60000 PDE Loss: 4.76383, BC Loss: 288.44821, total loss: 293.212036
15000/60000 PDE Loss: 4.97469, BC Loss: 250.23978, total loss: 255.214462
15500/60000 PDE Loss: 5.21385, BC Loss: 215.38634, total loss: 220.600189
16000/60000 PDE Loss: 5.45311, BC Loss: 181.39503, total loss: 186.848145
16500/60000 PDE Loss: 5.04060, BC Loss: 153.85609, total loss: 158.896698
17000/60000 PDE Loss: 4.74222, BC Loss: 128.96245, total loss: 133.704666
17500/60000 PDE Loss: 4.56622, BC Loss: 106.79350, total loss: 111.359711
18000/60000 PDE Loss: 4.29919, BC Loss: 87.52603, total loss: 91.825218
18500/60000 PDE Loss: 5.77545, BC Loss: 72.64223, total loss: 78.417686
19000/60000 PDE Loss: 5.42368, BC Loss: 58.70663, total loss: 64.130310
19500/60000 PDE Loss: 4.87747, BC Loss: 46.99976, total loss: 51.877235
20000/60000 PDE Loss: 4.14735, BC Loss: 37.11607, total loss: 41.263428
20500/60000 PDE Loss: 3.37907, BC Loss: 28.67754, total loss: 32.056610
21000/60000 PDE Loss: 2.74089, BC Loss: 21.69185, total loss: 24.432745
21500/60000 PDE Loss: 2.29742, BC Loss: 16.56297, total loss: 18.860390
22000/60000 PDE Loss: 1.82793, BC Loss: 11.90452, total loss: 13.732450
22500/60000 PDE Loss: 1.38932, BC Loss: 8.48273, total loss: 9.872056
23000/60000 PDE Loss: 0.99334, BC Loss: 5.60455, total loss: 6.597888
23500/60000 PDE Loss: 0.58308, BC Loss: 3.36263, total loss: 3.945704
24000/60000 PDE Loss: 0.33826, BC Loss: 1.13809, total loss: 1.476350
24500/60000 PDE Loss: 0.19710, BC Loss: 0.46285, total loss: 0.659955
25000/60000 PDE Loss: 0.13369, BC Loss: 0.21186, total loss: 0.345550
25500/60000 PDE Loss: 0.09324, BC Loss: 0.11902, total loss: 0.212267
26000/60000 PDE Loss: 0.06554, BC Loss: 0.07568, total loss: 0.141214
26500/60000 PDE Loss: 0.05764, BC Loss: 0.04492, total loss: 0.102562
27000/60000 PDE Loss: 0.04022, BC Loss: 0.03179, total loss: 0.072009
27500/60000 PDE Loss: 0.03116, BC Loss: 0.02158, total loss: 0.052742
28000/60000 PDE Loss: 0.02428, BC Loss: 0.01484, total loss: 0.039117
28500/60000 PDE Loss: 0.02451, BC Loss: 0.00972, total loss: 0.034234
29000/60000 PDE Loss: 0.01463, BC Loss: 0.00750, total loss: 0.022137
29500/60000 PDE Loss: 0.01230, BC Loss: 0.00587, total loss: 0.018168
30000/60000 PDE Loss: 0.00960, BC Loss: 0.00465, total loss: 0.014249
30500/60000 PDE Loss: 0.00763, BC Loss: 0.00392, total loss: 0.011556
31000/60000 PDE Loss: 0.06447, BC Loss: 0.04036, total loss: 0.104821
31500/60000 PDE Loss: 0.02645, BC Loss: 0.00960, total loss: 0.036049
32000/60000 PDE Loss: 0.01604, BC Loss: 0.00445, total loss: 0.020493
32500/60000 PDE Loss: 0.00927, BC Loss: 0.00381, total loss: 0.013078
33000/60000 PDE Loss: 0.00749, BC Loss: 0.00339, total loss: 0.010878
33500/60000 PDE Loss: 0.00620, BC Loss: 0.00301, total loss: 0.009215
34000/60000 PDE Loss: 0.00542, BC Loss: 0.00278, total loss: 0.008195
34500/60000 PDE Loss: 0.00605, BC Loss: 0.00270, total loss: 0.008752
35000/60000 PDE Loss: 0.00718, BC Loss: 0.00291, total loss: 0.010088
35500/60000 PDE Loss: 0.00495, BC Loss: 0.00259, total loss: 0.007546
36000/60000 PDE Loss: 0.01080, BC Loss: 0.00305, total loss: 0.013845
36500/60000 PDE Loss: 0.00365, BC Loss: 0.00223, total loss: 0.005886
37000/60000 PDE Loss: 0.00321, BC Loss: 0.00222, total loss: 0.005436
37500/60000 PDE Loss: 0.00319, BC Loss: 0.00215, total loss: 0.005344
38000/60000 PDE Loss: 0.00427, BC Loss: 0.00214, total loss: 0.006405
38500/60000 PDE Loss: 0.00257, BC Loss: 0.00201, total loss: 0.004573
