Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
0/60000 PDE Loss: 0.00339, BC Loss: 3357.60059
500/60000 PDE Loss: 0.08340, BC Loss: 3104.20435
1000/60000 PDE Loss: 0.12095, BC Loss: 2920.96216
1500/60000 PDE Loss: 0.20423, BC Loss: 2730.01245
2000/60000 PDE Loss: 0.21955, BC Loss: 2566.98682
2500/60000 PDE Loss: 0.30032, BC Loss: 2411.66650
3000/60000 PDE Loss: 0.34122, BC Loss: 2264.65967
3500/60000 PDE Loss: 0.56088, BC Loss: 2120.35205
4000/60000 PDE Loss: 0.56029, BC Loss: 1983.88232
4500/60000 PDE Loss: 0.62130, BC Loss: 1847.39465
5000/60000 PDE Loss: 0.63200, BC Loss: 1712.94409
5500/60000 PDE Loss: 0.73431, BC Loss: 1590.12744
6000/60000 PDE Loss: 0.79282, BC Loss: 1473.59180
6500/60000 PDE Loss: 0.94920, BC Loss: 1362.70374
7000/60000 PDE Loss: 1.05841, BC Loss: 1257.17334
7500/60000 PDE Loss: 1.24411, BC Loss: 1155.69470
8000/60000 PDE Loss: 1.33926, BC Loss: 1060.11816
8500/60000 PDE Loss: 1.47569, BC Loss: 969.48456
9000/60000 PDE Loss: 1.74154, BC Loss: 883.72266
9500/60000 PDE Loss: 1.89023, BC Loss: 802.61176
10000/60000 PDE Loss: 2.09610, BC Loss: 726.21906
10500/60000 PDE Loss: 2.57504, BC Loss: 654.45520
11000/60000 PDE Loss: 2.87621, BC Loss: 587.14716
11500/60000 PDE Loss: 3.25592, BC Loss: 524.16608
12000/60000 PDE Loss: 3.49575, BC Loss: 465.54514
12500/60000 PDE Loss: 3.87777, BC Loss: 411.17758
13000/60000 PDE Loss: 4.31959, BC Loss: 360.89999
13500/60000 PDE Loss: 4.90291, BC Loss: 314.67838
14000/60000 PDE Loss: 5.29812, BC Loss: 272.48529
14500/60000 PDE Loss: 5.76480, BC Loss: 234.08464
15000/60000 PDE Loss: 5.92005, BC Loss: 199.79933
15500/60000 PDE Loss: 6.29797, BC Loss: 168.80807
16000/60000 PDE Loss: 6.38413, BC Loss: 141.57097
16500/60000 PDE Loss: 6.79204, BC Loss: 117.09119
17000/60000 PDE Loss: 6.62481, BC Loss: 94.85588
17500/60000 PDE Loss: 5.63452, BC Loss: 77.16310
18000/60000 PDE Loss: 3.36755, BC Loss: 62.63292
18500/60000 PDE Loss: 2.70486, BC Loss: 48.94316
19000/60000 PDE Loss: 2.15078, BC Loss: 37.42840
19500/60000 PDE Loss: 1.73937, BC Loss: 27.84795
20000/60000 PDE Loss: 2.59536, BC Loss: 19.72331
20500/60000 PDE Loss: 2.24180, BC Loss: 13.60292
21000/60000 PDE Loss: 4.99329, BC Loss: 19.19128
21500/60000 PDE Loss: 2.08862, BC Loss: 11.77130
22000/60000 PDE Loss: 1.57099, BC Loss: 8.00384
22500/60000 PDE Loss: 1.18513, BC Loss: 5.20813
23000/60000 PDE Loss: 0.74811, BC Loss: 3.65250
23500/60000 PDE Loss: 0.48455, BC Loss: 1.99492
24000/60000 PDE Loss: 0.28300, BC Loss: 1.01458
24500/60000 PDE Loss: 0.16763, BC Loss: 0.47992
25000/60000 PDE Loss: 0.11906, BC Loss: 0.19813
25500/60000 PDE Loss: 0.07011, BC Loss: 0.08670
26000/60000 PDE Loss: 0.04593, BC Loss: 0.04249
26500/60000 PDE Loss: 0.03013, BC Loss: 0.02734
27000/60000 PDE Loss: 0.02188, BC Loss: 0.01980
27500/60000 PDE Loss: 0.01551, BC Loss: 0.01548
28000/60000 PDE Loss: 0.01196, BC Loss: 0.01232
28500/60000 PDE Loss: 0.01008, BC Loss: 0.01025
29000/60000 PDE Loss: 0.00802, BC Loss: 0.00847
29500/60000 PDE Loss: 0.00652, BC Loss: 0.00726
30000/60000 PDE Loss: 0.00544, BC Loss: 0.00634
30500/60000 PDE Loss: 0.00462, BC Loss: 0.00561
31000/60000 PDE Loss: 0.00729, BC Loss: 0.00552
31500/60000 PDE Loss: 0.00352, BC Loss: 0.00471
32000/60000 PDE Loss: 0.00292, BC Loss: 0.00449
32500/60000 PDE Loss: 0.00567, BC Loss: 0.00451
33000/60000 PDE Loss: 0.00227, BC Loss: 0.00397
33500/60000 PDE Loss: 0.00200, BC Loss: 0.00383
34000/60000 PDE Loss: 0.00219, BC Loss: 0.00359
