0/60000 PDE Loss: 0.00008, BC Loss: 3304.16650, total loss: 3304.166504
500/60000 PDE Loss: 0.00458, BC Loss: 1611.19482, total loss: 1611.199463
1000/60000 PDE Loss: 0.07670, BC Loss: 160.64137, total loss: 160.718063
1500/60000 PDE Loss: 0.69388, BC Loss: 68.15936, total loss: 68.853249
2000/60000 PDE Loss: 1.74842, BC Loss: 61.80833, total loss: 63.556751
2500/60000 PDE Loss: 3.33303, BC Loss: 54.83279, total loss: 58.165817
3000/60000 PDE Loss: 5.19037, BC Loss: 47.40607, total loss: 52.596443
3500/60000 PDE Loss: 6.51201, BC Loss: 40.50720, total loss: 47.019211
4000/60000 PDE Loss: 6.67379, BC Loss: 34.10528, total loss: 40.779072
4500/60000 PDE Loss: 5.95180, BC Loss: 27.66888, total loss: 33.620674
5000/60000 PDE Loss: 4.71223, BC Loss: 21.15598, total loss: 25.868212
5500/60000 PDE Loss: 3.29613, BC Loss: 14.93004, total loss: 18.226171
6000/60000 PDE Loss: 2.04469, BC Loss: 9.48871, total loss: 11.533401
6500/60000 PDE Loss: 1.15065, BC Loss: 5.28427, total loss: 6.434918
7000/60000 PDE Loss: 0.63295, BC Loss: 2.49493, total loss: 3.127879
7500/60000 PDE Loss: 0.36966, BC Loss: 0.97203, total loss: 1.341693
8000/60000 PDE Loss: 0.23074, BC Loss: 0.30381, total loss: 0.534551
8500/60000 PDE Loss: 0.15677, BC Loss: 0.06952, total loss: 0.226291
9000/60000 PDE Loss: 0.11285, BC Loss: 0.01210, total loss: 0.124954
9500/60000 PDE Loss: 0.08428, BC Loss: 0.00187, total loss: 0.086150
10000/60000 PDE Loss: 0.06351, BC Loss: 0.00072, total loss: 0.064224
10500/60000 PDE Loss: 0.04767, BC Loss: 0.00011, total loss: 0.047776
11000/60000 PDE Loss: 0.03572, BC Loss: 0.00003, total loss: 0.035747
11500/60000 PDE Loss: 0.02661, BC Loss: 0.00020, total loss: 0.026815
