Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
0/60000 PDE Loss: 0.00029, BC Loss: 3472.07886, total loss: 3472.079102
500/60000 PDE Loss: 0.00058, BC Loss: 2297.11743, total loss: 2297.117920
1000/60000 PDE Loss: 0.00773, BC Loss: 593.09149, total loss: 593.099243
1500/60000 PDE Loss: 0.06670, BC Loss: 79.84494, total loss: 79.911644
2000/60000 PDE Loss: 0.26212, BC Loss: 70.82433, total loss: 71.086449
2500/60000 PDE Loss: 0.72271, BC Loss: 66.09818, total loss: 66.820892
3000/60000 PDE Loss: 1.63237, BC Loss: 60.25454, total loss: 61.886902
3500/60000 PDE Loss: 3.11114, BC Loss: 53.57080, total loss: 56.681938
4000/60000 PDE Loss: 5.28247, BC Loss: 46.07433, total loss: 51.356804
4500/60000 PDE Loss: 7.09765, BC Loss: 39.53350, total loss: 46.631153
5000/60000 PDE Loss: 7.86221, BC Loss: 33.84425, total loss: 41.706459
5500/60000 PDE Loss: 7.88880, BC Loss: 28.33118, total loss: 36.219990
6000/60000 PDE Loss: 7.33307, BC Loss: 22.82835, total loss: 30.161419
6500/60000 PDE Loss: 6.24169, BC Loss: 17.50087, total loss: 23.742558
7000/60000 PDE Loss: 4.69770, BC Loss: 12.45102, total loss: 17.148716
7500/60000 PDE Loss: 3.03157, BC Loss: 7.97732, total loss: 11.008886
8000/60000 PDE Loss: 1.60407, BC Loss: 4.45601, total loss: 6.060085
8500/60000 PDE Loss: 0.66596, BC Loss: 2.08098, total loss: 2.746940
9000/60000 PDE Loss: 0.21083, BC Loss: 0.76683, total loss: 0.977664
9500/60000 PDE Loss: 0.05090, BC Loss: 0.20632, total loss: 0.257211
10000/60000 PDE Loss: 0.00974, BC Loss: 0.03715, total loss: 0.046884
10500/60000 PDE Loss: 0.00239, BC Loss: 0.00415, total loss: 0.006539
11000/60000 PDE Loss: 0.00153, BC Loss: 0.00058, total loss: 0.002114
11500/60000 PDE Loss: 0.00146, BC Loss: 0.00003, total loss: 0.001485
12000/60000 PDE Loss: 0.00144, BC Loss: 0.00002, total loss: 0.001460
12500/60000 PDE Loss: 0.00142, BC Loss: 0.00002, total loss: 0.001440
13000/60000 PDE Loss: 0.00140, BC Loss: 0.00001, total loss: 0.001418
13500/60000 PDE Loss: 0.00137, BC Loss: 0.00001, total loss: 0.001381
14000/60000 PDE Loss: 0.00136, BC Loss: 0.00001, total loss: 0.001376
14500/60000 PDE Loss: 0.00135, BC Loss: 0.00001, total loss: 0.001366
15000/60000 PDE Loss: 0.00134, BC Loss: 0.00001, total loss: 0.001356
15500/60000 PDE Loss: 0.00133, BC Loss: 0.00001, total loss: 0.001343
16000/60000 PDE Loss: 0.00133, BC Loss: 0.00001, total loss: 0.001340
16500/60000 PDE Loss: 0.00132, BC Loss: 0.00001, total loss: 0.001333
17000/60000 PDE Loss: 0.00132, BC Loss: 0.00001, total loss: 0.001327
17500/60000 PDE Loss: 0.00152, BC Loss: 0.01868, total loss: 0.020199
18000/60000 PDE Loss: 0.00130, BC Loss: 0.00001, total loss: 0.001316
18500/60000 PDE Loss: 0.00130, BC Loss: 0.00001, total loss: 0.001309
19000/60000 PDE Loss: 0.00129, BC Loss: 0.00001, total loss: 0.001302
19500/60000 PDE Loss: 0.00128, BC Loss: 0.00001, total loss: 0.001292
20000/60000 PDE Loss: 0.00127, BC Loss: 0.00001, total loss: 0.001285
20500/60000 PDE Loss: 0.00127, BC Loss: 0.00001, total loss: 0.001279
21000/60000 PDE Loss: 0.00126, BC Loss: 0.00001, total loss: 0.001273
21500/60000 PDE Loss: 0.00125, BC Loss: 0.00001, total loss: 0.001261
22000/60000 PDE Loss: 0.00122, BC Loss: 0.00001, total loss: 0.001233
22500/60000 PDE Loss: 0.00122, BC Loss: 0.00001, total loss: 0.001229
23000/60000 PDE Loss: 0.00121, BC Loss: 0.00001, total loss: 0.001223
23500/60000 PDE Loss: 0.00120, BC Loss: 0.00001, total loss: 0.001214
24000/60000 PDE Loss: 0.00119, BC Loss: 0.00001, total loss: 0.001203
24500/60000 PDE Loss: 0.00119, BC Loss: 0.00002, total loss: 0.001202
25000/60000 PDE Loss: 0.00118, BC Loss: 0.00001, total loss: 0.001193
25500/60000 PDE Loss: 0.00118, BC Loss: 0.00001, total loss: 0.001188
26000/60000 PDE Loss: 0.00117, BC Loss: 0.00001, total loss: 0.001180
26500/60000 PDE Loss: 0.00116, BC Loss: 0.00001, total loss: 0.001171
27000/60000 PDE Loss: 0.00114, BC Loss: 0.00001, total loss: 0.001154
27500/60000 PDE Loss: 0.00113, BC Loss: 0.00001, total loss: 0.001145
28000/60000 PDE Loss: 0.00113, BC Loss: 0.00001, total loss: 0.001138
28500/60000 PDE Loss: 0.00112, BC Loss: 0.00001, total loss: 0.001130
29000/60000 PDE Loss: 0.00111, BC Loss: 0.00001, total loss: 0.001120
29500/60000 PDE Loss: 0.00110, BC Loss: 0.00001, total loss: 0.001108
30000/60000 PDE Loss: 0.00109, BC Loss: 0.00001, total loss: 0.001097
30500/60000 PDE Loss: 0.00108, BC Loss: 0.00001, total loss: 0.001093
31000/60000 PDE Loss: 0.00108, BC Loss: 0.00001, total loss: 0.001087
31500/60000 PDE Loss: 0.00107, BC Loss: 0.00001, total loss: 0.001078
32000/60000 PDE Loss: 0.00106, BC Loss: 0.00001, total loss: 0.001075
32500/60000 PDE Loss: 0.00106, BC Loss: 0.00001, total loss: 0.001072
33000/60000 PDE Loss: 0.00106, BC Loss: 0.00001, total loss: 0.001065
33500/60000 PDE Loss: 0.00105, BC Loss: 0.00001, total loss: 0.001058
34000/60000 PDE Loss: 0.00104, BC Loss: 0.00001, total loss: 0.001049
34500/60000 PDE Loss: 0.00102, BC Loss: 0.00007, total loss: 0.001096
35000/60000 PDE Loss: 0.00102, BC Loss: 0.00001, total loss: 0.001028
35500/60000 PDE Loss: 0.00101, BC Loss: 0.00001, total loss: 0.001020
36000/60000 PDE Loss: 0.00100, BC Loss: 0.00001, total loss: 0.001011
36500/60000 PDE Loss: 0.00100, BC Loss: 0.00001, total loss: 0.001012
37000/60000 PDE Loss: 0.00100, BC Loss: 0.00001, total loss: 0.001006
37500/60000 PDE Loss: 0.00099, BC Loss: 0.00001, total loss: 0.001001
38000/60000 PDE Loss: 0.00098, BC Loss: 0.00001, total loss: 0.000993
38500/60000 PDE Loss: 0.00098, BC Loss: 0.00001, total loss: 0.000985
39000/60000 PDE Loss: 0.00131, BC Loss: 0.01346, total loss: 0.014775
39500/60000 PDE Loss: 0.00095, BC Loss: 0.00001, total loss: 0.000963
40000/60000 PDE Loss: 0.00095, BC Loss: 0.00001, total loss: 0.000960
40500/60000 PDE Loss: 0.00095, BC Loss: 0.00001, total loss: 0.000955
41000/60000 PDE Loss: 0.00094, BC Loss: 0.00001, total loss: 0.000949
41500/60000 PDE Loss: 0.00093, BC Loss: 0.00001, total loss: 0.000942
42000/60000 PDE Loss: 0.00094, BC Loss: 0.00001, total loss: 0.000948
42500/60000 PDE Loss: 0.00094, BC Loss: 0.00001, total loss: 0.000946
43000/60000 PDE Loss: 0.00093, BC Loss: 0.00001, total loss: 0.000942
43500/60000 PDE Loss: 0.00093, BC Loss: 0.00001, total loss: 0.000937
44000/60000 PDE Loss: 0.00092, BC Loss: 0.00001, total loss: 0.000930
44500/60000 PDE Loss: 0.00091, BC Loss: 0.00001, total loss: 0.000922
45000/60000 PDE Loss: 0.00138, BC Loss: 0.04823, total loss: 0.049610
45500/60000 PDE Loss: 0.00089, BC Loss: 0.00001, total loss: 0.000902
46000/60000 PDE Loss: 0.00089, BC Loss: 0.00001, total loss: 0.000900
46500/60000 PDE Loss: 0.00089, BC Loss: 0.00001, total loss: 0.000897
47000/60000 PDE Loss: 0.00088, BC Loss: 0.00001, total loss: 0.000893
47500/60000 PDE Loss: 0.00088, BC Loss: 0.00001, total loss: 0.000887
48000/60000 PDE Loss: 0.00153, BC Loss: 0.00983, total loss: 0.011355
48500/60000 PDE Loss: 0.00087, BC Loss: 0.00001, total loss: 0.000881
49000/60000 PDE Loss: 0.00087, BC Loss: 0.00001, total loss: 0.000879
49500/60000 PDE Loss: 0.00087, BC Loss: 0.00001, total loss: 0.000875
50000/60000 PDE Loss: 0.00086, BC Loss: 0.00001, total loss: 0.000871
50500/60000 PDE Loss: 0.00086, BC Loss: 0.00001, total loss: 0.000867
51000/60000 PDE Loss: 0.00085, BC Loss: 0.00001, total loss: 0.000861
51500/60000 PDE Loss: 0.00084, BC Loss: 0.00001, total loss: 0.000845
52000/60000 PDE Loss: 0.00084, BC Loss: 0.00001, total loss: 0.000844
52500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000842
53000/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000838
53500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000835
54000/60000 PDE Loss: 0.00082, BC Loss: 0.00001, total loss: 0.000831
54500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000836
