Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
0/60000 PDE Loss: 0.00096, BC Loss: 3648.96826
500/60000 PDE Loss: 0.00083, BC Loss: 2537.15088
1000/60000 PDE Loss: 0.01059, BC Loss: 798.33636
1500/60000 PDE Loss: 0.12221, BC Loss: 83.80480
2000/60000 PDE Loss: 1.32391, BC Loss: 63.54198
2500/60000 PDE Loss: 2.81517, BC Loss: 56.53061
3000/60000 PDE Loss: 4.36812, BC Loss: 49.67057
3500/60000 PDE Loss: 5.38115, BC Loss: 43.06171
4000/60000 PDE Loss: 5.54230, BC Loss: 36.50107
4500/60000 PDE Loss: 4.74951, BC Loss: 30.12225
5000/60000 PDE Loss: 3.57709, BC Loss: 23.51219
5500/60000 PDE Loss: 2.38454, BC Loss: 16.92323
6000/60000 PDE Loss: 1.40741, BC Loss: 10.89311
6500/60000 PDE Loss: 0.72626, BC Loss: 6.03286
7000/60000 PDE Loss: 0.31732, BC Loss: 2.75907
7500/60000 PDE Loss: 0.08766, BC Loss: 0.78430
8000/60000 PDE Loss: 0.02209, BC Loss: 0.18020
8500/60000 PDE Loss: 0.00523, BC Loss: 0.02754
9000/60000 PDE Loss: 0.00224, BC Loss: 0.00250
9500/60000 PDE Loss: 0.00173, BC Loss: 0.00030
10000/60000 PDE Loss: 0.00146, BC Loss: 0.00016
10500/60000 PDE Loss: 0.00121, BC Loss: 0.00003
11000/60000 PDE Loss: 0.00106, BC Loss: 0.00003
11500/60000 PDE Loss: 0.00101, BC Loss: 0.00002
12000/60000 PDE Loss: 0.00096, BC Loss: 0.00052
12500/60000 PDE Loss: 0.00085, BC Loss: 0.00006
13000/60000 PDE Loss: 0.00082, BC Loss: 0.00003
13500/60000 PDE Loss: 0.00081, BC Loss: 0.00009
14000/60000 PDE Loss: 0.00078, BC Loss: 0.00002
14500/60000 PDE Loss: 0.00075, BC Loss: 0.00186
15000/60000 PDE Loss: 0.00074, BC Loss: 0.00025
15500/60000 PDE Loss: 0.00074, BC Loss: 0.00005
16000/60000 PDE Loss: 0.00076, BC Loss: 0.00002
16500/60000 PDE Loss: 0.00080, BC Loss: 0.00004
17000/60000 PDE Loss: 0.00081, BC Loss: 0.00002
17500/60000 PDE Loss: 0.00079, BC Loss: 0.00001
18000/60000 PDE Loss: 0.00078, BC Loss: 0.00006
18500/60000 PDE Loss: 0.00076, BC Loss: 0.00001
19000/60000 PDE Loss: 0.00074, BC Loss: 0.00001
19500/60000 PDE Loss: 0.00074, BC Loss: 0.00001
20000/60000 PDE Loss: 0.00080, BC Loss: 0.00001
20500/60000 PDE Loss: 0.00077, BC Loss: 0.00001
21000/60000 PDE Loss: 0.00074, BC Loss: 0.00001
21500/60000 PDE Loss: 0.00073, BC Loss: 0.00001
22000/60000 PDE Loss: 0.00072, BC Loss: 0.00001
22500/60000 PDE Loss: 0.00071, BC Loss: 0.00001
23000/60000 PDE Loss: 0.00101, BC Loss: 0.00014
23500/60000 PDE Loss: 0.00074, BC Loss: 0.00001
24000/60000 PDE Loss: 0.00076, BC Loss: 0.00001
24500/60000 PDE Loss: 0.00076, BC Loss: 0.00001
25000/60000 PDE Loss: 0.00077, BC Loss: 0.00001
25500/60000 PDE Loss: 0.00076, BC Loss: 0.00001
26000/60000 PDE Loss: 0.00074, BC Loss: 0.00001
26500/60000 PDE Loss: 0.00074, BC Loss: 0.00001
27000/60000 PDE Loss: 0.00073, BC Loss: 0.00001
27500/60000 PDE Loss: 0.00071, BC Loss: 0.00001
28000/60000 PDE Loss: 0.00071, BC Loss: 0.00001
28500/60000 PDE Loss: 0.00070, BC Loss: 0.00001
29000/60000 PDE Loss: 0.00068, BC Loss: 0.00001
29500/60000 PDE Loss: 0.00068, BC Loss: 0.00001
30000/60000 PDE Loss: 0.00074, BC Loss: 0.00003
