0/30000 PDE Loss: 0.00006, BC Loss: 3744.81519,                   mse loss: 3744.815186, combined loss: -77.24950
50/30000 PDE Loss: 28.97750, BC Loss: 42.25508,                   mse loss: 71.232590, combined loss: 38.07741
100/30000 PDE Loss: 13.42831, BC Loss: 14.13056,                   mse loss: 27.558872, combined loss: 0.86849
150/30000 PDE Loss: 6.37243, BC Loss: 2.50975,                   mse loss: 8.882177, combined loss: 2.26646
200/30000 PDE Loss: 4.73231, BC Loss: 1.73141,                   mse loss: 6.463724, combined loss: 0.00687
250/30000 PDE Loss: 4.23008, BC Loss: 0.67825,                   mse loss: 4.908326, combined loss: 0.43664
300/30000 PDE Loss: 2.75908, BC Loss: 0.79695,                   mse loss: 3.556036, combined loss: 0.36721
350/30000 PDE Loss: 1.30338, BC Loss: 0.18692,                   mse loss: 1.490301, combined loss: 0.47984
400/30000 PDE Loss: 0.78545, BC Loss: 0.14639,                   mse loss: 0.931841, combined loss: 0.42667
450/30000 PDE Loss: 0.58579, BC Loss: 0.10005,                   mse loss: 0.685841, combined loss: 0.24072
500/30000 PDE Loss: 2.15986, BC Loss: 0.54277,                   mse loss: 2.702628, combined loss: 0.14112
550/30000 PDE Loss: 0.85420, BC Loss: 0.60616,                   mse loss: 1.460358, combined loss: 0.09443
600/30000 PDE Loss: 2.07303, BC Loss: 0.90387,                   mse loss: 2.976899, combined loss: -0.04127
650/30000 PDE Loss: 1.13084, BC Loss: 0.24474,                   mse loss: 1.375584, combined loss: 0.12246
700/30000 PDE Loss: 0.32312, BC Loss: 0.08961,                   mse loss: 0.412730, combined loss: 0.02432
750/30000 PDE Loss: 0.50808, BC Loss: 0.15252,                   mse loss: 0.660605, combined loss: 0.07961
800/30000 PDE Loss: 6.94298, BC Loss: 7.03954,                   mse loss: 13.982514, combined loss: 4.50565
850/30000 PDE Loss: 1.79658, BC Loss: 0.99318,                   mse loss: 2.789758, combined loss: 0.88250
900/30000 PDE Loss: 2.32534, BC Loss: 0.72541,                   mse loss: 3.050751, combined loss: 1.31101
950/30000 PDE Loss: 0.53361, BC Loss: 0.14648,                   mse loss: 0.680087, combined loss: 0.55687
1000/30000 PDE Loss: 0.51409, BC Loss: 0.07295,                   mse loss: 0.587046, combined loss: 0.47928
1050/30000 PDE Loss: 0.59196, BC Loss: 0.07598,                   mse loss: 0.667934, combined loss: -0.03862
1100/30000 PDE Loss: 0.38567, BC Loss: 0.23282,                   mse loss: 0.618489, combined loss: 0.04672
1150/30000 PDE Loss: 3.62554, BC Loss: 4.19539,                   mse loss: 7.820935, combined loss: 5.52277
1200/30000 PDE Loss: 0.29346, BC Loss: 0.72986,                   mse loss: 1.023319, combined loss: -0.17870
1250/30000 PDE Loss: 0.23523, BC Loss: 0.78559,                   mse loss: 1.020821, combined loss: 0.09831
1300/30000 PDE Loss: 0.99970, BC Loss: 0.93193,                   mse loss: 1.931625, combined loss: -0.23385
1350/30000 PDE Loss: 0.54534, BC Loss: 0.53090,                   mse loss: 1.076244, combined loss: 0.10464
1400/30000 PDE Loss: 0.23746, BC Loss: 0.55326,                   mse loss: 0.790725, combined loss: 0.02326
1450/30000 PDE Loss: 0.12520, BC Loss: 0.27008,                   mse loss: 0.395274, combined loss: 0.04540
1500/30000 PDE Loss: 0.08869, BC Loss: 0.53066,                   mse loss: 0.619358, combined loss: 0.00593
1550/30000 PDE Loss: 0.17200, BC Loss: 0.25517,                   mse loss: 0.427171, combined loss: 0.00587
1600/30000 PDE Loss: 0.17009, BC Loss: 0.04421,                   mse loss: 0.214301, combined loss: -0.00754
1650/30000 PDE Loss: 0.38172, BC Loss: 0.07955,                   mse loss: 0.461271, combined loss: -0.01044
1700/30000 PDE Loss: 0.10989, BC Loss: 0.19357,                   mse loss: 0.303466, combined loss: -0.00144
1750/30000 PDE Loss: 0.12959, BC Loss: 0.19467,                   mse loss: 0.324267, combined loss: 0.00041
1800/30000 PDE Loss: 0.13658, BC Loss: 0.14872,                   mse loss: 0.285298, combined loss: 0.00543
1850/30000 PDE Loss: 0.21022, BC Loss: 0.10193,                   mse loss: 0.312151, combined loss: 0.00596
1900/30000 PDE Loss: 0.08306, BC Loss: 0.03268,                   mse loss: 0.115741, combined loss: 0.00508
1950/30000 PDE Loss: 7.97361, BC Loss: 11.53924,                   mse loss: 19.512840, combined loss: 3.19902
