0/30000 PDE Loss: 0.00042, BC Loss: 3329.17798,                   mse loss: 3329.178467, combined loss: -10.30507
50/30000 PDE Loss: 0.00649, BC Loss: 1105.03003,                   mse loss: 1105.036499, combined loss: 157.12521
100/30000 PDE Loss: 0.00104, BC Loss: 83.23558,                   mse loss: 83.236618, combined loss: -0.87450
150/30000 PDE Loss: 0.02040, BC Loss: 75.00037,                   mse loss: 75.020775, combined loss: 1.04157
200/30000 PDE Loss: 0.05874, BC Loss: 73.84547,                   mse loss: 73.904221, combined loss: 1.47426
250/30000 PDE Loss: 0.12903, BC Loss: 72.59559,                   mse loss: 72.724617, combined loss: 1.93964
300/30000 PDE Loss: 0.43703, BC Loss: 69.97563,                   mse loss: 70.412666, combined loss: 2.51815
350/30000 PDE Loss: 1.75987, BC Loss: 64.52721,                   mse loss: 66.287086, combined loss: 3.84779
400/30000 PDE Loss: 5.29682, BC Loss: 58.42648,                   mse loss: 63.723301, combined loss: 5.04069
450/30000 PDE Loss: 15.82854, BC Loss: 52.06575,                   mse loss: 67.894287, combined loss: 4.36173
500/30000 PDE Loss: 30.43228, BC Loss: 50.32312,                   mse loss: 80.755402, combined loss: 4.30615
550/30000 PDE Loss: 37.61113, BC Loss: 51.02027,                   mse loss: 88.631393, combined loss: 7.88892
600/30000 PDE Loss: 33.44432, BC Loss: 47.66117,                   mse loss: 81.105484, combined loss: 14.78075
650/30000 PDE Loss: 24.29115, BC Loss: 43.14973,                   mse loss: 67.440872, combined loss: 24.32540
700/30000 PDE Loss: 19.85775, BC Loss: 39.00523,                   mse loss: 58.862976, combined loss: 40.63953
750/30000 PDE Loss: 20.93016, BC Loss: 32.30461,                   mse loss: 53.234772, combined loss: 59.52674
800/30000 PDE Loss: 12.51467, BC Loss: 22.13981,                   mse loss: 34.654480, combined loss: 73.70164
850/30000 PDE Loss: 3.96233, BC Loss: 11.46797,                   mse loss: 15.430298, combined loss: 54.20284
900/30000 PDE Loss: 5.10526, BC Loss: 9.63744,                   mse loss: 14.742697, combined loss: -8.84823
950/30000 PDE Loss: 12.52847, BC Loss: 18.23784,                   mse loss: 30.766312, combined loss: -12.34690
1000/30000 PDE Loss: 10.81232, BC Loss: 22.71120,                   mse loss: 33.523521, combined loss: -2.90764
1050/30000 PDE Loss: 8.98358, BC Loss: 25.01163,                   mse loss: 33.995209, combined loss: -1.20031
1100/30000 PDE Loss: 7.25340, BC Loss: 26.93725,                   mse loss: 34.190659, combined loss: -0.56995
1150/30000 PDE Loss: 6.72008, BC Loss: 28.67983,                   mse loss: 35.399918, combined loss: 0.02988
1200/30000 PDE Loss: 6.21920, BC Loss: 27.48389,                   mse loss: 33.703091, combined loss: 0.93146
1250/30000 PDE Loss: 6.77392, BC Loss: 23.01433,                   mse loss: 29.788248, combined loss: 1.62656
