0/30000 PDE Loss: 0.00087, BC Loss: 3158.35303,                   mse loss: 3158.354004, combined loss: 17.72379
50/30000 PDE Loss: 30.31384, BC Loss: 44.89681,                   mse loss: 75.210655, combined loss: 27.68759
100/30000 PDE Loss: 5726.40625, BC Loss: 5707.89209,                   mse loss: 11434.298828, combined loss: 542.96313
150/30000 PDE Loss: 591.49353, BC Loss: 478.59830,                   mse loss: 1070.091797, combined loss: 34.36436
200/30000 PDE Loss: 5351.85254, BC Loss: 10552.33008,                   mse loss: 15904.182617, combined loss: -123.81680
250/30000 PDE Loss: 325.16238, BC Loss: 433.28592,                   mse loss: 758.448303, combined loss: 2.90439
300/30000 PDE Loss: 325.80322, BC Loss: 517.79639,                   mse loss: 843.599609, combined loss: -2.85137
350/30000 PDE Loss: 59.47943, BC Loss: 52.75816,                   mse loss: 112.237595, combined loss: -3.69044
400/30000 PDE Loss: 339.84058, BC Loss: 457.06107,                   mse loss: 796.901611, combined loss: -1.75789
450/30000 PDE Loss: 175.48999, BC Loss: 208.89217,                   mse loss: 384.382141, combined loss: -2.44855
500/30000 PDE Loss: 9.48085, BC Loss: 24.68549,                   mse loss: 34.166344, combined loss: -0.88614
550/30000 PDE Loss: 144.84706, BC Loss: 140.52847,                   mse loss: 285.375549, combined loss: -1.42462
600/30000 PDE Loss: 6.67703, BC Loss: 17.04704,                   mse loss: 23.724079, combined loss: -0.24316
650/30000 PDE Loss: 29.88640, BC Loss: 28.72160,                   mse loss: 58.607998, combined loss: 0.16748
700/30000 PDE Loss: 6.97511, BC Loss: 14.55113,                   mse loss: 21.526237, combined loss: 0.83468
750/30000 PDE Loss: 7.66211, BC Loss: 9.49315,                   mse loss: 17.155264, combined loss: 1.02667
800/30000 PDE Loss: 5.82111, BC Loss: 15.37591,                   mse loss: 21.197018, combined loss: 1.89893
850/30000 PDE Loss: 11.36574, BC Loss: 3.97884,                   mse loss: 15.344585, combined loss: 27.10413
900/30000 PDE Loss: 43.37093, BC Loss: 33.91447,                   mse loss: 77.285400, combined loss: -8.53636
950/30000 PDE Loss: 49.55898, BC Loss: 34.40442,                   mse loss: 83.963394, combined loss: 2.68700
1000/30000 PDE Loss: 10.32298, BC Loss: 6.87000,                   mse loss: 17.192974, combined loss: 4.87754
1050/30000 PDE Loss: 2.36582, BC Loss: 1.17787,                   mse loss: 3.543684, combined loss: 2.70619
1100/30000 PDE Loss: 1.41845, BC Loss: 0.93253,                   mse loss: 2.350978, combined loss: 1.33069
1150/30000 PDE Loss: 1.03915, BC Loss: 1.19739,                   mse loss: 2.236540, combined loss: -1.00060
1200/30000 PDE Loss: 4.68191, BC Loss: 2.51099,                   mse loss: 7.192898, combined loss: 1.35092
1250/30000 PDE Loss: 1.51756, BC Loss: 0.70439,                   mse loss: 2.221950, combined loss: 0.39620
1300/30000 PDE Loss: 1.70115, BC Loss: 0.31466,                   mse loss: 2.015813, combined loss: -0.41955
1350/30000 PDE Loss: 1.73505, BC Loss: 0.23031,                   mse loss: 1.965364, combined loss: 0.30387
1400/30000 PDE Loss: 1.56501, BC Loss: 0.27625,                   mse loss: 1.841256, combined loss: -0.14200
1450/30000 PDE Loss: 1.02441, BC Loss: 1.72540,                   mse loss: 2.749807, combined loss: -0.10281
1500/30000 PDE Loss: 1.22843, BC Loss: 0.28595,                   mse loss: 1.514378, combined loss: 0.37501
1550/30000 PDE Loss: 0.63194, BC Loss: 0.30935,                   mse loss: 0.941290, combined loss: 0.49467
1600/30000 PDE Loss: 0.26882, BC Loss: 0.21998,                   mse loss: 0.488799, combined loss: 0.13477
1650/30000 PDE Loss: 0.14875, BC Loss: 0.16135,                   mse loss: 0.310097, combined loss: 0.22929
1700/30000 PDE Loss: 0.09657, BC Loss: 0.06741,                   mse loss: 0.163982, combined loss: 0.55351
1750/30000 PDE Loss: 0.04820, BC Loss: 0.02822,                   mse loss: 0.076426, combined loss: -0.10905
1800/30000 PDE Loss: 0.10985, BC Loss: 0.05997,                   mse loss: 0.169818, combined loss: 0.19259
1850/30000 PDE Loss: 0.08853, BC Loss: 0.07498,                   mse loss: 0.163512, combined loss: -0.09664
