50/30000 PDE Loss: 79.93681, BC Loss: 66.25402,                   mse loss: 146.190826, combined loss: -10.39867
100/30000 PDE Loss: 484.46283, BC Loss: 146.70258,                   mse loss: 631.165405, combined loss: -37.12999
150/30000 PDE Loss: 190.97975, BC Loss: 608.20807,                   mse loss: 799.187805, combined loss: -74.76908
200/30000 PDE Loss: 121.66718, BC Loss: 80.31660,                   mse loss: 201.983780, combined loss: -2.90650
250/30000 PDE Loss: 96.94495, BC Loss: 36.53668,                   mse loss: 133.481628, combined loss: 3.66619
300/30000 PDE Loss: 62.67200, BC Loss: 16.80223,                   mse loss: 79.474228, combined loss: 1.32568
350/30000 PDE Loss: 36.89824, BC Loss: 2.34396,                   mse loss: 39.242207, combined loss: -1.25877
400/30000 PDE Loss: 56.90560, BC Loss: 8.94678,                   mse loss: 65.852371, combined loss: 0.95735
450/30000 PDE Loss: 128.83899, BC Loss: 110.38630,                   mse loss: 239.225281, combined loss: -1.13670
500/30000 PDE Loss: 99.64950, BC Loss: 49.84552,                   mse loss: 149.495010, combined loss: 0.51179
550/30000 PDE Loss: 97.21043, BC Loss: 14.79412,                   mse loss: 112.004547, combined loss: 0.23806
600/30000 PDE Loss: 81.16156, BC Loss: 21.39223,                   mse loss: 102.553787, combined loss: 0.12792
650/30000 PDE Loss: 67.87288, BC Loss: 29.83782,                   mse loss: 97.710693, combined loss: 0.20322
700/30000 PDE Loss: 63.38342, BC Loss: 17.88798,                   mse loss: 81.271408, combined loss: -0.23889
750/30000 PDE Loss: 89.97992, BC Loss: 12.68943,                   mse loss: 102.669350, combined loss: -0.15219
800/30000 PDE Loss: 127.09981, BC Loss: 10.98312,                   mse loss: 138.082932, combined loss: -0.03963
850/30000 PDE Loss: 99.97668, BC Loss: 11.57462,                   mse loss: 111.551292, combined loss: 0.13103
900/30000 PDE Loss: 69.94675, BC Loss: 3.24650,                   mse loss: 73.193260, combined loss: 0.06696
950/30000 PDE Loss: 30.04504, BC Loss: 3.44180,                   mse loss: 33.486847, combined loss: -0.11356
1000/30000 PDE Loss: 353.85022, BC Loss: 26.89258,                   mse loss: 380.742798, combined loss: -2.46981
1050/30000 PDE Loss: 46.55240, BC Loss: 19.47505,                   mse loss: 66.027451, combined loss: -0.12909
1100/30000 PDE Loss: 17.57533, BC Loss: 12.68573,                   mse loss: 30.261057, combined loss: -0.04458
1150/30000 PDE Loss: 11.98538, BC Loss: 15.29731,                   mse loss: 27.282684, combined loss: -0.04180
1200/30000 PDE Loss: 46.21038, BC Loss: 27.84916,                   mse loss: 74.059540, combined loss: 0.73883
1250/30000 PDE Loss: 65.97203, BC Loss: 43.65724,                   mse loss: 109.629272, combined loss: 0.23222
1300/30000 PDE Loss: 102.26411, BC Loss: 34.10118,                   mse loss: 136.365295, combined loss: 0.81055
1350/30000 PDE Loss: 54.71412, BC Loss: 11.45712,                   mse loss: 66.171242, combined loss: 0.69276
1400/30000 PDE Loss: 70.73541, BC Loss: 4.45487,                   mse loss: 75.190277, combined loss: -0.18955
1450/30000 PDE Loss: 75.35916, BC Loss: 6.45736,                   mse loss: 81.816521, combined loss: 0.12827
1500/30000 PDE Loss: 21.49269, BC Loss: 2.87143,                   mse loss: 24.364115, combined loss: 0.09691
1550/30000 PDE Loss: 54.36414, BC Loss: 3.69151,                   mse loss: 58.055656, combined loss: 0.30292
1600/30000 PDE Loss: 33.36698, BC Loss: 6.16931,                   mse loss: 39.536285, combined loss: -0.03433
1650/30000 PDE Loss: 45.46533, BC Loss: 11.81841,                   mse loss: 57.283737, combined loss: 0.02958
1700/30000 PDE Loss: 116.43058, BC Loss: 6.06083,                   mse loss: 122.491409, combined loss: -0.00620
1750/30000 PDE Loss: 4.91711, BC Loss: 1.86004,                   mse loss: 6.777151, combined loss: 0.06373
1800/30000 PDE Loss: 5.67853, BC Loss: 2.53023,                   mse loss: 8.208764, combined loss: 0.02773
1850/30000 PDE Loss: 2.16794, BC Loss: 0.40040,                   mse loss: 2.568341, combined loss: -0.02807
1900/30000 PDE Loss: 4.67022, BC Loss: 2.09783,                   mse loss: 6.768051, combined loss: 0.06762
